benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;1.69619;0.01;663.25
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.484288;0.01;2323
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.874848;0.01;1285.94
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.27568;0.01;881.883
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.623568;0.01;1804.13
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.518976;0.01;2167.73
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.40912;0.01;2749.8
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;5.48229;0.01;205.206
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.405664;0.01;2773.23
bench1_base_variant;1024;1;1024;4096;0;0;0;0;2.8875;0.01;389.61
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;0.725936;0.01;1549.72
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.869184;0.01;1294.32
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.3168;0.01;854.344
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.61696;0.01;1823.46
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.502272;0.01;2239.82
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.4104;0.01;2741.23
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;5.47515;0.01;205.474
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.406304;0.01;2768.86
bench1_base_variant;2048;1;1024;4096;0;0;0;0;2.90714;0.01;386.979
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.14688;0.01;980.922
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.868912;0.01;1294.72
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.31098;0.01;858.139
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.5712;0.01;1969.54
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.463872;0.01;2425.24
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.38048;0.01;2956.79
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;5.47789;0.01;205.371
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.37632;0.01;2989.48
bench1_base_variant;4096;1;1024;4096;0;0;0;0;5.60333;0.01;200.774
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;2.05246;0.01;548.122
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.868832;0.01;1294.84
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.34272;0.01;837.852
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.501552;0.01;2243.04
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.44624;0.01;2521.06
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.366928;0.01;3066
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;5.48184;0.01;205.223
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.359936;0.01;3125.56
bench1_base_variant;512;2;1024;4096;0;0;0;0;1.96166;0.01;573.493
bench2_base_variant_skipping;512;2;1024;4096;0;0;0;0;0.682352;0.01;1648.71
bench3_3pass_streaming;512;2;1024;4096;-0.5;-0.5;-0.5;-0.5;0.861104;0.01;1306.46
bench4_3pass_optimized_read_non_skipping_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;1.25691;0.01;895.051
bench5_3pass_optimized_read_skipping_partial_pss;512;2;1024;4096;0;0;-0.5;0;0.595056;0.01;1890.58
bench6_3pass_optimized_read_skipping_two_phase_pss;512;2;1024;4096;0;0;0;0;0.485888;0.01;2315.35
bench7_3pass_optimized_read_skipping_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;0.378832;0.01;2969.65
bench8_cub_flagged;512;2;1024;4096;-0.5;-0.5;-0.5;-0.5;5.48696;0.01;205.032
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;0.373424;0.01;3012.66
bench1_base_variant;1024;2;1024;4096;0;0;0;0;2.89638;0.01;388.415
bench2_base_variant_skipping;1024;2;1024;4096;0;0;0;0;0.730624;0.01;1539.78
bench3_3pass_streaming;1024;2;1024;4096;-0.5;-0.5;-0.5;-0.5;0.853184;0.01;1318.59
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;1.2975;0.01;867.049
