benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;3.08606;0.01;405.047
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.900096;0.01;1388.74
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.42506;0.01;877.159
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.39146;0.01;522.694
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.866816;0.01;1442.06
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.812992;0.01;1537.53
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.624528;0.01;2001.51
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.09477;0.01;205.094
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.623424;0.01;2005.06
bench1_base_variant;1024;1;1024;4096;0;0;0;0;5.54854;0.01;225.284
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;0.899312;0.01;1389.95
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.41221;0.01;885.139
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;2.47163;0.01;505.739
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.829328;0.01;1507.24
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.723968;0.01;1726.6
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.613568;0.01;2037.26
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.10099;0.01;204.885
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.616064;0.01;2029.01
bench1_base_variant;2048;1;1024;4096;0;0;0;0;5.57762;0.01;224.11
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.31104;0.01;953.442
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.42392;0.01;877.858
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;2.46187;0.01;507.744
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.7552;0.01;1655.19
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.64512;0.01;1937.62
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.55296;0.01;2260.56
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.0928;0.01;205.16
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.550224;0.01;2271.8
bench1_base_variant;4096;1;1024;4096;0;0;0;0;10.1282;0.01;123.418
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;2.29786;0.01;543.985
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.41758;0.01;881.782
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;2.57661;0.01;485.134
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.838752;0.01;1490.31
