benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;3.09446;0.01;403.947
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.897952;0.01;1392.06
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.43298;0.01;872.31
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.38797;0.01;523.458
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.867328;0.01;1441.21
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.799152;0.01;1564.16
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.62728;0.01;1992.73
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.09587;0.01;205.057
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.622368;0.01;2008.46
bench1_base_variant;1024;1;1024;4096;0;0;0;0;5.55352;0.01;225.082
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;0.900016;0.01;1388.86
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.41094;0.01;885.932
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;2.4737;0.01;505.317
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.830128;0.01;1505.79
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.72448;0.01;1725.38
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.614352;0.01;2034.66
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.0992;0.01;204.945
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.615152;0.01;2032.02
bench1_base_variant;2048;1;1024;4096;0;0;0;0;5.5936;0.01;223.47
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.31123;0.01;953.302
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.42542;0.01;876.932
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;2.46053;0.01;508.021
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.75488;0.01;1655.89
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.643808;0.01;1941.57
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.550768;0.01;2269.56
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.09918;0.01;204.945
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.551456;0.01;2266.73
bench1_base_variant;4096;1;1024;4096;0;0;0;0;10.0855;0.01;123.941
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;2.29704;0.01;544.179
