benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;18.3347;0.01;109.083
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;11.0579;0.01;180.866
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.99747;0.01;500.316
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;8.82555;0.01;226.615
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;2.6176;0.01;764.059
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;2.75491;0.01;725.976
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.05312;0.01;974.127
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;18.4407;0.01;108.456
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.02285;0.01;988.705
bench1_base_variant;1024;1;1024;4096;0;0;0;0;28.6661;0.01;69.7687
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;8.52683;0.01;234.554
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.89272;0.01;513.78
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;8.9543;0.01;223.356
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;2.37854;0.01;840.851
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;2.368;0.01;844.595
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.99654;0.01;1001.73
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;18.2854;0.01;109.377
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;2.02117;0.01;989.527
bench1_base_variant;2048;1;1024;4096;0;0;0;0;22.7917;0.01;87.7513
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;3.3863;0.01;590.614
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.91202;0.01;511.245
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;8.92461;0.01;224.099
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;1.98912;0.01;1005.47
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;1.91056;0.01;1046.81
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.7405;0.01;1149.1
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;18.2998;0.01;109.291
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.76402;0.01;1133.78
bench1_base_variant;4096;1;1024;4096;0;0;0;0;40.9317;0.01;48.8619
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;3.45142;0.01;579.471
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.8957;0.01;513.387
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;9.23699;0.01;216.521
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;2.17022;0.01;921.564
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;2.0489;0.01;976.135
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.94602;0.01;1027.74
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;18.3106;0.01;109.226
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.96978;0.01;1015.34
bench1_base_variant;512;2;1024;4096;0;0;0;0;13.5633;0.01;147.457
bench2_base_variant_skipping;512;2;1024;4096;0;0;0;0;9.6347;0.01;207.583
bench3_3pass_streaming;512;2;1024;4096;-0.5;-0.5;-0.5;-0.5;3.89235;0.01;513.828
bench4_3pass_optimized_read_non_skipping_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;8.59995;0.01;232.559
bench5_3pass_optimized_read_skipping_partial_pss;512;2;1024;4096;0;0;-0.5;0;2.54102;0.01;787.084
bench6_3pass_optimized_read_skipping_two_phase_pss;512;2;1024;4096;0;0;0;0;2.67861;0.01;746.656
bench7_3pass_optimized_read_skipping_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;1.98398;0.01;1008.07
bench8_cub_flagged;512;2;1024;4096;-0.5;-0.5;-0.5;-0.5;18.3017;0.01;109.279
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;2.00371;0.01;998.147
bench1_base_variant;1024;2;1024;4096;0;0;0;0;23.2144;0.01;86.1533
bench2_base_variant_skipping;1024;2;1024;4096;0;0;0;0;6.2684;0.01;319.061
bench3_3pass_streaming;1024;2;1024;4096;-0.5;-0.5;-0.5;-0.5;3.8707;0.01;516.702
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;8.96037;0.01;223.205
bench5_3pass_optimized_read_skipping_partial_pss;1024;2;1024;4096;0;0;-0.5;0;2.3499;0.01;851.099
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;2;1024;4096;0;0;0;0;2.33968;0.01;854.818
bench7_3pass_optimized_read_skipping_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;1.97018;0.01;1015.14
bench8_cub_flagged;1024;2;1024;4096;-0.5;-0.5;-0.5;-0.5;18.308;0.01;109.242
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;2.00285;0.01;998.578
bench1_base_variant;2048;2;1024;4096;0;0;0;0;23.1034;0.01;86.5674
bench2_base_variant_skipping;2048;2;1024;4096;0;0;0;0;5.34218;0.01;374.379
bench3_3pass_streaming;2048;2;1024;4096;-0.5;-0.5;-0.5;-0.5;3.85838;0.01;518.352
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;2;1024;4096;0;-0.5;-0.5;0;8.94387;0.01;223.617
bench5_3pass_optimized_read_skipping_partial_pss;2048;2;1024;4096;0;0;-0.5;0;1.96453;0.01;1018.06
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;2;1024;4096;0;0;0;0;1.89003;0.01;1058.18
bench7_3pass_optimized_read_skipping_cub_pss;2048;2;1024;4096;0;-0.5;-0.5;0;1.71784;0.01;1164.25
bench8_cub_flagged;2048;2;1024;4096;-0.5;-0.5;-0.5;-0.5;18.3055;0.01;109.257
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;2;1024;4096;0;-0.5;-0.5;0;1.7641;0.01;1133.73
bench1_base_variant;4096;2;1024;4096;0;0;0;0;41.7971;0.01;47.8502
bench2_base_variant_skipping;4096;2;1024;4096;0;0;0;0;5.27514;0.01;379.137
bench3_3pass_streaming;4096;2;1024;4096;-0.5;-0.5;-0.5;-0.5;3.88242;0.01;515.143
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;2;1024;4096;0;-0.5;-0.5;0;9.25792;0.01;216.031
bench5_3pass_optimized_read_skipping_partial_pss;4096;2;1024;4096;0;0;-0.5;0;2.12963;0.01;939.129
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;2;1024;4096;0;0;0;0;2.08822;0.01;957.752
bench7_3pass_optimized_read_skipping_cub_pss;4096;2;1024;4096;0;-0.5;-0.5;0;1.95218;0.01;1024.5
bench8_cub_flagged;4096;2;1024;4096;-0.5;-0.5;-0.5;-0.5;18.3132;0.01;109.211
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;2;1024;4096;0;-0.5;-0.5;0;2.00339;0.01;998.307
bench1_base_variant;512;4;1024;4096;0;0;0;0;10.8487;0.01;184.354
bench2_base_variant_skipping;512;4;1024;4096;0;0;0;0;10.0849;0.01;198.317
bench3_3pass_streaming;512;4;1024;4096;-0.5;-0.5;-0.5;-0.5;3.90219;0.01;512.532
bench4_3pass_optimized_read_non_skipping_cub_pss;512;4;1024;4096;0;-0.5;-0.5;0;8.61262;0.01;232.217
bench5_3pass_optimized_read_skipping_partial_pss;512;4;1024;4096;0;0;-0.5;0;2.53323;0.01;789.505
bench6_3pass_optimized_read_skipping_two_phase_pss;512;4;1024;4096;0;0;0;0;2.66926;0.01;749.27
bench7_3pass_optimized_read_skipping_cub_pss;512;4;1024;4096;0;-0.5;-0.5;0;1.97682;0.01;1011.73
bench8_cub_flagged;512;4;1024;4096;-0.5;-0.5;-0.5;-0.5;18.3019;0.01;109.278
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;4;1024;4096;0;-0.5;-0.5;0;2.00058;0.01;999.712
bench1_base_variant;1024;4;1024;4096;0;0;0;0;23.7292;0.01;84.2845
bench2_base_variant_skipping;1024;4;1024;4096;0;0;0;0;6.51808;0.01;306.839
bench3_3pass_streaming;1024;4;1024;4096;-0.5;-0.5;-0.5;-0.5;3.88053;0.01;515.394
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;4;1024;4096;0;-0.5;-0.5;0;8.98243;0.01;222.657
bench5_3pass_optimized_read_skipping_partial_pss;1024;4;1024;4096;0;0;-0.5;0;2.34499;0.01;852.881
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;4;1024;4096;0;0;0;0;2.36216;0.01;846.683
bench7_3pass_optimized_read_skipping_cub_pss;1024;4;1024;4096;0;-0.5;-0.5;0;1.99258;0.01;1003.73
bench8_cub_flagged;1024;4;1024;4096;-0.5;-0.5;-0.5;-0.5;18.305;0.01;109.26
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;4;1024;4096;0;-0.5;-0.5;0;2.05568;0.01;972.914
bench1_base_variant;2048;4;1024;4096;0;0;0;0;22.534;0.01;88.755
bench2_base_variant_skipping;2048;4;1024;4096;0;0;0;0;4.06443;0.01;492.074
bench3_3pass_streaming;2048;4;1024;4096;-0.5;-0.5;-0.5;-0.5;3.87286;0.01;516.414
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;4;1024;4096;0;-0.5;-0.5;0;8.95518;0.01;223.334
bench5_3pass_optimized_read_skipping_partial_pss;2048;4;1024;4096;0;0;-0.5;0;2.00186;0.01;999.073
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;4;1024;4096;0;0;0;0;1.9584;0.01;1021.24
bench7_3pass_optimized_read_skipping_cub_pss;2048;4;1024;4096;0;-0.5;-0.5;0;1.7876;0.01;1118.82
bench8_cub_flagged;2048;4;1024;4096;-0.5;-0.5;-0.5;-0.5;18.3177;0.01;109.184
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;4;1024;4096;0;-0.5;-0.5;0;1.83603;0.01;1089.31
bench1_base_variant;4096;4;1024;4096;0;0;0;0;41.2892;0.01;48.4389
bench2_base_variant_skipping;4096;4;1024;4096;0;0;0;0;5.26234;0.01;380.059
bench3_3pass_streaming;4096;4;1024;4096;-0.5;-0.5;-0.5;-0.5;3.86043;0.01;518.077
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;4;1024;4096;0;-0.5;-0.5;0;9.27216;0.01;215.699
bench5_3pass_optimized_read_skipping_partial_pss;4096;4;1024;4096;0;0;-0.5;0;2.19904;0.01;909.488
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;4;1024;4096;0;0;0;0;2.1252;0.01;941.088
bench7_3pass_optimized_read_skipping_cub_pss;4096;4;1024;4096;0;-0.5;-0.5;0;2.02685;0.01;986.754
bench8_cub_flagged;4096;4;1024;4096;-0.5;-0.5;-0.5;-0.5;18.2991;0.01;109.295
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;4;1024;4096;0;-0.5;-0.5;0;2.05619;0.01;972.672
bench1_base_variant;512;8;1024;4096;0;0;0;0;10.8867;0.01;183.711
bench2_base_variant_skipping;512;8;1024;4096;0;0;0;0;10.2922;0.01;194.321
bench3_3pass_streaming;512;8;1024;4096;-0.5;-0.5;-0.5;-0.5;3.91926;0.01;510.3
bench4_3pass_optimized_read_non_skipping_cub_pss;512;8;1024;4096;0;-0.5;-0.5;0;8.61682;0.01;232.104
bench5_3pass_optimized_read_skipping_partial_pss;512;8;1024;4096;0;0;-0.5;0;2.56771;0.01;778.904
bench6_3pass_optimized_read_skipping_two_phase_pss;512;8;1024;4096;0;0;0;0;2.72026;0.01;735.225
bench7_3pass_optimized_read_skipping_cub_pss;512;8;1024;4096;0;-0.5;-0.5;0;2.02779;0.01;986.294
bench8_cub_flagged;512;8;1024;4096;-0.5;-0.5;-0.5;-0.5;18.3099;0.01;109.231
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;8;1024;4096;0;-0.5;-0.5;0;2.08376;0.01;959.804
bench1_base_variant;1024;8;1024;4096;0;0;0;0;23.4957;0.01;85.1221
bench2_base_variant_skipping;1024;8;1024;4096;0;0;0;0;6.75122;0.01;296.243
bench3_3pass_streaming;1024;8;1024;4096;-0.5;-0.5;-0.5;-0.5;3.89664;0.01;513.263
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;8;1024;4096;0;-0.5;-0.5;0;8.98016;0.01;222.713
bench5_3pass_optimized_read_skipping_partial_pss;1024;8;1024;4096;0;0;-0.5;0;2.4155;0.01;827.985
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;8;1024;4096;0;0;0;0;2.42051;0.01;826.271
bench7_3pass_optimized_read_skipping_cub_pss;1024;8;1024;4096;0;-0.5;-0.5;0;2.04738;0.01;976.86
bench8_cub_flagged;1024;8;1024;4096;-0.5;-0.5;-0.5;-0.5;18.3259;0.01;109.135
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;8;1024;4096;0;-0.5;-0.5;0;2.11384;0.01;946.145
bench1_base_variant;2048;8;1024;4096;0;0;0;0;23.0008;0.01;86.9533
bench2_base_variant_skipping;2048;8;1024;4096;0;0;0;0;3.62854;0.01;551.185
bench3_3pass_streaming;2048;8;1024;4096;-0.5;-0.5;-0.5;-0.5;3.90933;0.01;511.597
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;8;1024;4096;0;-0.5;-0.5;0;8.9583;0.01;223.257
bench5_3pass_optimized_read_skipping_partial_pss;2048;8;1024;4096;0;0;-0.5;0;2.05939;0.01;971.16
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;8;1024;4096;0;0;0;0;2.0009;0.01;999.552
bench7_3pass_optimized_read_skipping_cub_pss;2048;8;1024;4096;0;-0.5;-0.5;0;1.82562;0.01;1095.52
bench8_cub_flagged;2048;8;1024;4096;-0.5;-0.5;-0.5;-0.5;18.2998;0.01;109.291
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;8;1024;4096;0;-0.5;-0.5;0;1.88518;0.01;1060.9
bench1_base_variant;4096;8;1024;4096;0;0;0;0;40.6943;0.01;49.147
bench2_base_variant_skipping;4096;8;1024;4096;0;0;0;0;4.42651;0.01;451.823
bench3_3pass_streaming;4096;8;1024;4096;-0.5;-0.5;-0.5;-0.5;3.91043;0.01;511.452
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;8;1024;4096;0;-0.5;-0.5;0;9.27293;0.01;215.682
bench5_3pass_optimized_read_skipping_partial_pss;4096;8;1024;4096;0;0;-0.5;0;2.24397;0.01;891.278
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;8;1024;4096;0;0;0;0;2.15525;0.01;927.967
bench7_3pass_optimized_read_skipping_cub_pss;4096;8;1024;4096;0;-0.5;-0.5;0;2.05203;0.01;974.644
bench8_cub_flagged;4096;8;1024;4096;-0.5;-0.5;-0.5;-0.5;18.306;0.01;109.254
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;8;1024;4096;0;-0.5;-0.5;0;2.11098;0.01;947.429
bench1_base_variant;512;16;1024;4096;0;0;0;0;10.7853;0.01;185.438
bench2_base_variant_skipping;512;16;1024;4096;0;0;0;0;9.9625;0.01;200.753
bench3_3pass_streaming;512;16;1024;4096;-0.5;-0.5;-0.5;-0.5;4.03802;0.01;495.293
bench4_3pass_optimized_read_non_skipping_cub_pss;512;16;1024;4096;0;-0.5;-0.5;0;8.8576;0.01;225.795
bench5_3pass_optimized_read_skipping_partial_pss;512;16;1024;4096;0;0;-0.5;0;2.68427;0.01;745.081
bench6_3pass_optimized_read_skipping_two_phase_pss;512;16;1024;4096;0;0;0;0;2.8303;0.01;706.638
bench7_3pass_optimized_read_skipping_cub_pss;512;16;1024;4096;0;-0.5;-0.5;0;2.12918;0.01;939.327
bench8_cub_flagged;512;16;1024;4096;-0.5;-0.5;-0.5;-0.5;18.686;0.01;107.032
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;16;1024;4096;0;-0.5;-0.5;0;2.13709;0.01;935.853
bench1_base_variant;1024;16;1024;4096;0;0;0;0;22.814;0.01;87.6656
bench2_base_variant_skipping;1024;16;1024;4096;0;0;0;0;7.54067;0.01;265.228
bench3_3pass_streaming;1024;16;1024;4096;-0.5;-0.5;-0.5;-0.5;3.95533;0.01;505.647
