benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;1.70216;0.01;660.925
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.485072;0.01;2319.24
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.872416;0.01;1289.52
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.27531;0.01;882.137
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.62328;0.01;1804.97
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.518992;0.01;2167.66
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.409328;0.01;2748.41
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;5.47661;0.01;205.419
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.405696;0.01;2773.01
bench1_base_variant;1024;1;1024;4096;0;0;0;0;2.90586;0.01;387.149
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;0.728064;0.01;1545.19
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.869616;0.01;1293.67
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.31744;0.01;853.929
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.611152;0.01;1840.79
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.503248;0.01;2235.48
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.40952;0.01;2747.12
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;5.47214;0.01;205.587
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.40704;0.01;2763.86
bench1_base_variant;2048;1;1024;4096;0;0;0;0;2.90646;0.01;387.068
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.14942;0.01;978.751
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.869936;0.01;1293.2
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.31213;0.01;857.386
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.571888;0.01;1967.17
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.46464;0.01;2421.23
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.380672;0.01;2955.3
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;5.48541;0.01;205.09
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.376128;0.01;2991
bench1_base_variant;4096;1;1024;4096;0;0;0;0;5.57824;0.01;201.677
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;2.05157;0.01;548.361
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.87072;0.01;1292.03
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.34635;0.01;835.591
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.496096;0.01;2267.71
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.447248;0.01;2515.38
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.36992;0.01;3041.2
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;5.47662;0.01;205.419
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.36184;0.01;3109.11
bench1_base_variant;512;1;1024;4096;0;0;0;0;7.95954;0.05;141.34
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;6.58149;0.05;170.934
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.28642;0.05;874.523
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.64944;0.05;682.05
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.03629;0.05;1085.61
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.933376;0.05;1205.3
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.825856;0.05;1362.22
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;5.69139;0.05;197.667
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.822272;0.05;1368.16
bench1_base_variant;1024;1;1024;4096;0;0;0;0;4.68581;0.05;240.087
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.93736;0.05;580.687
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.28082;0.05;878.346
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.69062;0.05;665.435
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;1.024;0.05;1098.63
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.921952;0.05;1220.24
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.82776;0.05;1359.09
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;5.69378;0.05;197.584
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.82456;0.05;1364.36
bench1_base_variant;2048;1;1024;4096;0;0;0;0;4.05146;0.05;277.678
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.28816;0.05;873.339
