benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;3.09998;0.01;403.228
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.900592;0.01;1387.98
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.43163;0.01;873.129
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.3904;0.01;522.925
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.86784;0.01;1440.36
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.800336;0.01;1561.84
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.624432;0.01;2001.82
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.09526;0.01;205.077
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.62192;0.01;2009.9
bench1_base_variant;1024;1;1024;4096;0;0;0;0;5.55725;0.01;224.931
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;0.901424;0.01;1386.69
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.41413;0.01;883.937
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;2.4729;0.01;505.48
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.83072;0.01;1504.72
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.725344;0.01;1723.32
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.615648;0.01;2030.38
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.0992;0.01;204.945
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.615216;0.01;2031.81
bench1_base_variant;2048;1;1024;4096;0;0;0;0;5.61192;0.01;222.74
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.31123;0.01;953.302
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.41864;0.01;881.126
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;2.4625;0.01;507.615
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.756224;0.01;1652.95
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.646448;0.01;1933.64
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.552112;0.01;2264.03
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.09875;0.01;204.96
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.550912;0.01;2268.96
bench1_base_variant;4096;1;1024;4096;0;0;0;0;10.0253;0.01;124.685
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;2.29232;0.01;545.299
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.4173;0.01;881.961
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;2.58438;0.01;483.674
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.834848;0.01;1497.28
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.722944;0.01;1729.04
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.640288;0.01;1952.25
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.09318;0.01;205.147
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.648464;0.01;1927.63
bench1_base_variant;512;1;1024;4096;0;0;0;0;19.4651;0.05;64.2176
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;16.9087;0.05;73.9264
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.83571;0.05;680.935
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.73038;0.05;457.811
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.28808;0.05;970.437
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.22362;0.05;1021.56
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.04896;0.05;1191.66
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.29707;0.05;198.505
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.04806;0.05;1192.68
bench1_base_variant;1024;1;1024;4096;0;0;0;0;18.5911;0.05;67.2365
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;12.8121;0.05;97.5639
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.81835;0.05;687.436
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;2.81683;0.05;443.761
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;1.25184;0.05;998.53
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;1.15075;0.05;1086.25
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.04294;0.05;1198.53
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.29019;0.05;198.722
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.04442;0.05;1196.84
bench1_base_variant;2048;1;1024;4096;0;0;0;0;9.66325;0.05;129.356
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;3.39061;0.05;368.665
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.81733;0.05;687.823
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;2.80405;0.05;445.784
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;1.17965;0.05;1059.64
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;1.07826;0.05;1159.28
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.98288;0.05;1271.77
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.29328;0.05;198.625
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.981856;0.05;1273.1
bench1_base_variant;4096;1;1024;4096;0;0;0;0;12.1384;0.05;102.979
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;2.34016;0.05;534.152
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.82365;0.05;685.439
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;2.92222;0.05;427.756
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;1.25797;0.05;993.666
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;1.15346;0.05;1083.7
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.06005;0.05;1179.19
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.30098;0.05;198.382
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.07448;0.05;1163.35
bench1_base_variant;512;1;1024;4096;0;0;0;0;31.5781;0.09;39.5844
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;28.7512;0.09;43.4764
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.26134;0.09;552.769
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;3.08562;0.09;405.105
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.71048;0.09;730.789
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.64915;0.09;757.965
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.47946;0.09;844.905
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.48686;0.09;192.697
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.4776;0.09;845.966
bench1_base_variant;1024;1;1024;4096;0;0;0;0;36.4667;0.09;34.2779
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;31.5728;0.09;39.5911
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.24606;0.09;556.529
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;3.17058;0.09;394.25
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;1.68034;0.09;743.899
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;1.5831;0.09;789.588
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.47494;0.09;847.49
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.48422;0.09;192.776
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.4765;0.09;846.599
bench1_base_variant;2048;1;1024;4096;0;0;0;0;27.4586;0.09;45.523
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;19.7622;0.09;63.2521
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.24549;0.09;556.672
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;3.15798;0.09;395.822
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;1.60888;0.09;776.938
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;1.50973;0.09;827.964
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.41829;0.09;881.344
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.48115;0.09;192.867
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.41958;0.09;880.54
bench1_base_variant;4096;1;1024;4096;0;0;0;0;17.221;0.09;72.586
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;5.8801;0.09;212.582
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.24526;0.09;556.727
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;3.27419;0.09;381.774
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;1.69882;0.09;735.807
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;1.59638;0.09;783.02
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.51006;0.09;827.779
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.48173;0.09;192.85
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.50784;0.09;829
bench1_base_variant;512;1;1024;4096;0;0;0;0;46.7854;0.13;26.7177
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;44.2998;0.13;28.2168
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.6864;0.13;465.307
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;3.43688;0.13;363.702
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;2.1335;0.13;585.891
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;2.07405;0.13;602.686
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.8989;0.13;658.277
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.68294;0.13;187.043
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.90157;0.13;657.352
bench1_base_variant;1024;1;1024;4096;0;0;0;0;50.0167;0.13;24.9917
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;45.8204;0.13;27.2804
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.66522;0.13;469.005
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;3.52037;0.13;355.076
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;2.1007;0.13;595.039
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;2.00704;0.13;622.808
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.9003;0.13;657.789
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.68221;0.13;187.064
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.9031;0.13;656.822
bench1_base_variant;2048;1;1024;4096;0;0;0;0;47.9862;0.13;26.0492
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;41.2411;0.13;30.3096
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.66243;0.13;469.496
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;3.51106;0.13;356.018
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;2.03664;0.13;613.756
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;1.93624;0.13;645.581
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.84576;0.13;677.228
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.686;0.13;186.958
