benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;3.04926;0.01;409.935
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.895168;0.01;1396.39
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.43339;0.01;872.057
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.3885;0.01;523.342
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.867616;0.01;1440.73
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.807056;0.01;1548.84
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.625136;0.01;1999.56
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.10814;0.01;204.645
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.621936;0.01;2009.85
bench1_base_variant;1024;1;1024;4096;0;0;0;0;5.5637;0.01;224.671
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;0.90592;0.01;1379.81
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.42229;0.01;878.866
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;2.47194;0.01;505.677
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.831872;0.01;1502.64
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.725264;0.01;1723.51
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.615664;0.01;2030.33
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.09331;0.01;205.143
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.617328;0.01;2024.86
bench1_base_variant;2048;1;1024;4096;0;0;0;0;5.58488;0.01;223.819
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.31474;0.01;950.761
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.42325;0.01;878.273
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;2.46288;0.01;507.536
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.756976;0.01;1651.31
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.64656;0.01;1933.31
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.551424;0.01;2266.86
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.09638;0.01;205.04
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.552864;0.01;2260.95
bench1_base_variant;4096;1;1024;4096;0;0;0;0;9.99867;0.01;125.017
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;2.28861;0.01;546.184
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.41624;0.01;882.619
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;2.59096;0.01;482.447
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.836576;0.01;1494.19
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.726896;0.01;1719.64
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.636656;0.01;1963.38
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.09587;0.01;205.057
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.647408;0.01;1930.78
bench1_base_variant;512;1;1024;4096;0;0;0;0;19.4298;0.05;64.3341
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;16.9077;0.05;73.931
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.83875;0.05;679.809
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.73254;0.05;457.449
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.28717;0.05;971.124
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.22496;0.05;1020.44
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.0505;0.05;1189.91
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.29453;0.05;198.585
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.05107;0.05;1189.26
bench1_base_variant;1024;1;1024;4096;0;0;0;0;18.592;0.05;67.2332
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;12.8891;0.05;96.9814
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.81166;0.05;689.973
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;2.81541;0.05;443.985
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;1.25315;0.05;997.485
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;1.15245;0.05;1084.65
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.04328;0.05;1198.14
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.30562;0.05;198.236
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.04379;0.05;1197.56
bench1_base_variant;2048;1;1024;4096;0;0;0;0;9.78568;0.05;127.738
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;3.40992;0.05;366.578
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.82467;0.05;685.055
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;2.80246;0.05;446.036
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;1.17992;0.05;1059.39
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;1.07678;0.05;1160.86
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.983552;0.05;1270.9
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.28667;0.05;198.833
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.983184;0.05;1271.38
bench1_base_variant;4096;1;1024;4096;0;0;0;0;12.2179;0.05;102.309
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;2.33656;0.05;534.974
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.82968;0.05;683.18
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;2.91408;0.05;428.952
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;1.2605;0.05;991.673
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;1.15736;0.05;1080.04
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.07496;0.05;1162.83
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.29043;0.05;198.714
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.06286;0.05;1176.07
bench1_base_variant;512;1;1024;4096;0;0;0;0;32.054;0.09;38.9966
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;28.6445;0.09;43.6383
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.27246;0.09;550.064
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;3.08582;0.09;405.078
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.71102;0.09;730.557
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.65222;0.09;756.556
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.47787;0.09;845.811
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.48533;0.09;192.743
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.47754;0.09;846.003
bench1_base_variant;1024;1;1024;4096;0;0;0;0;36.4445;0.09;34.2987
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;31.2059;0.09;40.0565
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.24328;0.09;557.22
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;3.17165;0.09;394.117
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;1.68222;0.09;743.064
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;1.5831;0.09;789.588
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.47352;0.09;848.309
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.4937;0.09;192.494
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.47814;0.09;845.655
bench1_base_variant;2048;1;1024;4096;0;0;0;0;27.3836;0.09;45.6478
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;19.7496;0.09;63.2924
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.25382;0.09;554.613
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;3.16133;0.09;395.403
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;1.6091;0.09;776.83
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;1.51171;0.09;826.877
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.41918;0.09;880.788
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.49368;0.09;192.495
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.42014;0.09;880.192
bench1_base_variant;4096;1;1024;4096;0;0;0;0;17.2558;0.09;72.4395
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;5.76461;0.09;216.84
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.27693;0.09;548.985
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;3.26843;0.09;382.446
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;1.69165;0.09;738.924
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;1.58816;0.09;787.074
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.50784;0.09;829
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.48405;0.09;192.781
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.5167;0.09;824.156
bench1_base_variant;512;1;1024;4096;0;0;0;0;46.8579;0.13;26.6764
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;44.543;0.13;28.0628
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.68627;0.13;465.329
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;3.43494;0.13;363.907
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;2.1297;0.13;586.938
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;2.07397;0.13;602.709
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.90126;0.13;657.457
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.68259;0.13;187.053
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.90387;0.13;656.557
bench1_base_variant;1024;1;1024;4096;0;0;0;0;49.9333;0.13;25.0334
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;45.7946;0.13;27.2958
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.6661;0.13;468.85
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;3.52461;0.13;354.649
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;2.0997;0.13;595.324
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;2.00843;0.13;622.376
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.90357;0.13;656.662
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.6819;0.13;187.072
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.90413;0.13;656.469
bench1_base_variant;2048;1;1024;4096;0;0;0;0;47.9411;0.13;26.0736
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;41.3716;0.13;30.2139
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.66496;0.13;469.05
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;3.51278;0.13;355.843
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;2.03059;0.13;615.584
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;1.93728;0.13;645.235
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.84218;0.13;678.545
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.67226;0.13;187.343
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.84525;0.13;677.416
bench1_base_variant;4096;1;1024;4096;0;0;0;0;27.0866;0.13;46.1483
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;12.0433;0.13;103.792
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.65387;0.13;471.01
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;3.62757;0.13;344.583
