benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;18.0408;0.01;110.86
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;11.0974;0.01;180.223
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.89515;0.01;513.459
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;8.58315;0.01;233.015
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;2.56517;0.01;779.676
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;2.7032;0.01;739.864
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.01062;0.01;994.716
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;18.2926;0.01;109.334
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.02474;0.01;987.783
bench1_base_variant;1024;1;1024;4096;0;0;0;0;28.6361;0.01;69.8419
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;8.52714;0.01;234.545
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.87363;0.01;516.311
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;8.94762;0.01;223.523
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;2.37381;0.01;842.528
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;2.36899;0.01;844.241
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.99394;0.01;1003.04
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;18.303;0.01;109.272
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;2.02445;0.01;987.924
