benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;3.53512;0.01;318.235
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;3.52418;0.01;319.224
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.57531;0.01;714.144
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.5107;0.01;744.686
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.78622;0.01;629.82
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.67779;0.01;670.524
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.56979;0.01;716.655
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;5.54291;0.01;202.962
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.09043;0.01;1031.7
bench1_base_variant;1024;1;1024;4096;0;0;0;0;3.80029;0.01;296.03
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;3.78469;0.01;297.25
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.56504;0.01;718.831
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.55725;0.01;722.428
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;1.80565;0.01;623.045
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;1.69717;0.01;662.869
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.60435;0.01;701.218
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;5.55309;0.01;202.59
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.1141;0.01;1009.79
bench1_base_variant;2048;1;1024;4096;0;0;0;0;4.40926;0.01;255.145
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;4.39962;0.01;255.704
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.5648;0.01;718.942
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.55723;0.01;722.436
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;1.79661;0.01;626.18
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;1.6844;0.01;667.894
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.60248;0.01;702.037
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;5.54291;0.01;202.962
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.11258;0.01;1011.17
bench1_base_variant;4096;1;1024;4096;0;0;0;0;7.13421;0.01;157.691
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;7.10861;0.01;158.259
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.57494;0.01;714.311
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.61562;0.01;696.329
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;1.7705;0.01;635.415
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;1.72851;0.01;650.849
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.65688;0.01;678.987
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;5.54957;0.01;202.718
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.13758;0.01;988.938
bench1_base_variant;512;1;1024;4096;0;0;0;0;9.27437;0.05;121.302
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;9.25779;0.05;121.519
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.07451;0.05;542.296
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.36062;0.05;476.569
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;2.66749;0.05;421.745
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;2.51994;0.05;446.44
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.40928;0.05;466.945
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;5.81965;0.05;193.311
