benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;6.88998;0.01;181.423
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;6.87611;0.01;181.789
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.91466;0.01;428.867
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.8856;0.01;433.185
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;3.24147;0.01;385.627
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;3.18547;0.01;392.407
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;3.01342;0.01;414.811
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.13938;0.01;203.604
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.08664;0.01;599.049
bench1_base_variant;1024;1;1024;4096;0;0;0;0;7.32592;0.01;170.627
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;7.31827;0.01;170.805
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.9084;0.01;429.79
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;2.97677;0.01;419.919
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;3.26754;0.01;382.551
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;3.17323;0.01;393.92
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;3.06526;0.01;407.795
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.13966;0.01;203.594
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;2.12634;0.01;587.866
bench1_base_variant;2048;1;1024;4096;0;0;0;0;8.60496;0.01;145.265
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;8.57509;0.01;145.771
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.89886;0.01;431.203
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;2.96992;0.01;420.887
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;3.2471;0.01;384.958
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;3.14675;0.01;397.235
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;3.05357;0.01;409.357
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.13448;0.01;203.766
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;2.12026;0.01;589.551
bench1_base_variant;4096;1;1024;4096;0;0;0;0;14.2144;0.01;87.9391
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;14.1776;0.01;88.1674
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.906;0.01;430.145
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;3.08954;0.01;404.591
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;3.35462;0.01;372.62
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;3.24506;0.01;385.201
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;3.17157;0.01;394.127
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.13661;0.01;203.696
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;2.22464;0.01;561.889
bench1_base_variant;512;1;1024;4096;0;0;0;0;16.3282;0.05;76.5547
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;16.3203;0.05;76.5916
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.47925;0.05;359.273
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;4.36634;0.05;286.281
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;4.76592;0.05;262.279
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;4.66278;0.05;268.08
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;4.49306;0.05;278.207
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.39997;0.05;195.313
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.60598;0.05;479.665
bench1_base_variant;1024;1;1024;4096;0;0;0;0;20.6881;0.05;60.4211
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;20.6817;0.05;60.44
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.42512;0.05;364.951
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;4.43341;0.05;281.95
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;4.75853;0.05;262.686
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;4.61957;0.05;270.588
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;4.51358;0.05;276.942
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.40357;0.05;195.204
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;2.66386;0.05;469.245
bench1_base_variant;2048;1;1024;4096;0;0;0;0;24.6117;0.05;50.7889
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;24.6405;0.05;50.7295
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.43107;0.05;364.318
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;4.43005;0.05;282.164
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;4.72909;0.05;264.322
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;4.59197;0.05;272.214
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;4.4969;0.05;277.97
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.40645;0.05;195.116
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;2.64403;0.05;472.763
bench1_base_variant;4096;1;1024;4096;0;0;0;0;25.7997;0.05;48.4502
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;25.9046;0.05;48.2539
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.4289;0.05;364.549
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;4.55054;0.05;274.692
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;4.83666;0.05;258.443
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;4.6836;0.05;266.889
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;4.60237;0.05;271.599
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.4041;0.05;195.188
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;2.76976;0.05;451.303
bench1_base_variant;512;1;1024;4096;0;0;0;0;30.3569;0.09;41.1768
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;30.3065;0.09;41.2452
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;4.5019;0.09;277.66
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;4.85056;0.09;257.702
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;5.3053;0.09;235.614
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;5.15878;0.09;242.305
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;4.98549;0.09;250.728
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.60005;0.09;189.393
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;3.73606;0.09;334.577
bench1_base_variant;1024;1;1024;4096;0;0;0;0;35.0546;0.09;35.6587
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;35.0167;0.09;35.6972
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;4.48667;0.09;278.603
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;4.94739;0.09;252.658
