benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;6.89227;0.01;181.363
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;6.87914;0.01;181.709
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.91789;0.01;428.392
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.88408;0.01;433.414
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;3.2441;0.01;385.315
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;3.18618;0.01;392.32
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;3.01054;0.01;415.207
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.13128;0.01;203.873
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.08734;0.01;598.847
bench1_base_variant;1024;1;1024;4096;0;0;0;0;7.32102;0.01;170.741
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;7.32;0.01;170.765
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.91149;0.01;429.334
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;2.97602;0.01;420.025
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;3.26691;0.01;382.624
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;3.17421;0.01;393.799
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;3.06435;0.01;407.917
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.1397;0.01;203.593
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;2.12838;0.01;587.3
bench1_base_variant;2048;1;1024;4096;0;0;0;0;8.62688;0.01;144.896
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;8.59693;0.01;145.401
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.90406;0.01;430.431
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;2.96939;0.01;420.962
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;3.24568;0.01;385.127
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;3.14718;0.01;397.18
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;3.05458;0.01;409.222
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.14021;0.01;203.576
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;2.1191;0.01;589.872
bench1_base_variant;4096;1;1024;4096;0;0;0;0;14.1906;0.01;88.0865
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;14.2022;0.01;88.0148
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.91038;0.01;429.497
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;3.08019;0.01;405.819
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;3.35;0.01;373.134
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;3.24546;0.01;385.154
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;3.16768;0.01;394.611
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.13917;0.01;203.611
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;2.25614;0.01;554.043
bench1_base_variant;512;1;1024;4096;0;0;0;0;16.3557;0.05;76.4259
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;16.3485;0.05;76.4597
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.43976;0.05;363.397
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;4.34227;0.05;287.868
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;4.74605;0.05;263.377
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;4.63707;0.05;269.567
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;4.46534;0.05;279.934
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.40186;0.05;195.256
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.60752;0.05;479.383
bench1_base_variant;1024;1;1024;4096;0;0;0;0;20.6805;0.05;60.4434
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;20.6888;0.05;60.4192
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.43467;0.05;363.936
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;4.47626;0.05;279.251
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;4.7587;0.05;262.677
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;4.61915;0.05;270.612
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;4.51629;0.05;276.776
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.40717;0.05;195.094
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;2.66582;0.05;468.898
bench1_base_variant;2048;1;1024;4096;0;0;0;0;24.601;0.05;50.8109
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;24.6302;0.05;50.7508
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.43522;0.05;363.878
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;4.4317;0.05;282.059
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;4.73344;0.05;264.079
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;4.58835;0.05;272.429
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;4.49411;0.05;278.142
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.40541;0.05;195.148
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;2.64429;0.05;472.717
bench1_base_variant;4096;1;1024;4096;0;0;0;0;25.8268;0.05;48.3994
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;25.8903;0.05;48.2806
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.44005;0.05;363.367
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;4.55885;0.05;274.192
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;4.84094;0.05;258.214
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;4.68779;0.05;266.65
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;4.60928;0.05;271.192
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.40078;0.05;195.289
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;2.76728;0.05;451.707
bench1_base_variant;512;1;1024;4096;0;0;0;0;30.3401;0.09;41.1996
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;30.334;0.09;41.2079
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;4.49978;0.09;277.792
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;4.8509;0.09;257.684
