benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;25.8664;0.01;77.3204
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;25.8385;0.01;77.404
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;10.6208;0.01;188.309
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;10.8737;0.01;183.93
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;11.9084;0.01;167.949
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;12.056;0.01;165.893
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;11.3693;0.01;175.912
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;18.4069;0.01;108.655
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;8.27392;0.01;241.723
bench1_base_variant;1024;1;1024;4096;0;0;0;0;28.1032;0.01;71.1664
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;28.1828;0.01;70.9653
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;10.2904;0.01;194.356
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;11.2525;0.01;177.739
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;11.9935;0.01;166.757
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;11.9879;0.01;166.835
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;11.6128;0.01;172.224
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;18.4028;0.01;108.679
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;8.42957;0.01;237.26
bench1_base_variant;2048;1;1024;4096;0;0;0;0;33.4779;0.01;59.7409
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;33.5872;0.01;59.5466
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;10.2959;0.01;194.252
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;11.2292;0.01;178.107
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;11.8016;0.01;169.468
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;11.732;0.01;170.474
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;11.558;0.01;173.041
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;18.4176;0.01;108.592
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;8.39493;0.01;238.239
bench1_base_variant;4096;1;1024;4096;0;0;0;0;55.8324;0.01;35.8215
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;55.7611;0.01;35.8673
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;10.2812;0.01;194.53
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;11.5637;0.01;172.956
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;12.0874;0.01;165.461
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;11.9847;0.01;166.879
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;11.8629;0.01;168.593
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;18.413;0.01;108.619
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;8.70691;0.01;229.703
bench1_base_variant;512;1;1024;4096;0;0;0;0;51.4189;0.05;38.8962
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;51.4819;0.05;38.8486
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;10.772;0.05;185.667
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;15.4127;0.05;129.763
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;16.3981;0.05;121.965
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;16.5039;0.05;121.183
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;15.8278;0.05;126.36
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;18.7944;0.05;106.415
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;8.71656;0.05;229.448
bench1_base_variant;1024;1;1024;4096;0;0;0;0;60.3748;0.05;33.1264
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;60.3012;0.05;33.1668
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;10.7272;0.05;186.442
