benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;0.617376;0.01;1822.23
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.596416;0.01;1886.27
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.297472;0.01;3781.87
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.312848;0.01;3596
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.240624;0.01;4675.34
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.21744;0.01;5173.84
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.105984;0.01;10614.8
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.82982;0.01;614.813
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.10496;0.01;10718.4
bench1_base_variant;1024;1;1024;4096;0;0;0;0;1.61688;0.01;695.784
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.08134;0.01;1040.37
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.294944;0.01;3814.28
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.3184;0.01;3533.29
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.231296;0.01;4863.9
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.2088;0.01;5387.93
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.102912;0.01;10931.7
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.83398;0.01;613.419
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.102832;0.01;10940.2
bench1_base_variant;2048;1;1024;4096;0;0;0;0;2.04091;0.01;551.224
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.90464;0.01;590.663
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.2944;0.01;3821.33
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.31744;0.01;3543.98
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.215456;0.01;5221.48
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.197632;0.01;5692.4
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.099776;0.01;11275.3
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.81965;0.01;618.251
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.100864;0.01;11153.6
bench1_base_variant;4096;1;1024;4096;0;0;0;0;2.25024;0.01;499.947
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;2.18576;0.01;514.695
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.294784;0.01;3816.35
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.32256;0.01;3487.72
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.206336;0.01;5452.27
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.213504;0.01;5269.22
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.122912;0.01;9152.89
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.83654;0.01;612.564
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.129536;0.01;8684.84
bench1_base_variant;512;2;1024;4096;0;0;0;0;0.624464;0.01;1801.54
bench2_base_variant_skipping;512;2;1024;4096;0;0;0;0;0.60072;0.01;1872.75
