benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;0.654336;0.01;1910.33
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.630784;0.01;1981.66
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.481184;0.01;2597.76
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.594432;0.01;2102.85
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.300592;0.01;4158.46
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.284016;0.01;4401.16
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.156672;0.01;7978.45
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88058;0.01;664.69
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.158208;0.01;7900.99
bench1_base_variant;1024;1;1024;4096;0;0;0;0;2.21594;0.01;564.096
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.1107;0.01;1125.41
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.467456;0.01;2674.05
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.605664;0.01;2063.85
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.288656;0.01;4330.41
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.275456;0.01;4537.93
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.160256;0.01;7800.02
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.8867;0.01;662.531
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.16528;0.01;7562.92
bench1_base_variant;2048;1;1024;4096;0;0;0;0;3.8624;0.01;323.633
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.95366;0.01;639.823
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.462736;0.01;2701.32
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.607312;0.01;2058.25
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.267264;0.01;4677.02
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.262064;0.01;4769.83
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.156672;0.01;7978.45
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88518;0.01;663.065
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.163776;0.01;7632.38
bench1_base_variant;4096;1;1024;4096;0;0;0;0;4.48973;0.01;278.413
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;3.59117;0.01;348.076
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.46416;0.01;2693.04
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.610816;0.01;2046.44
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.254976;0.01;4902.42
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.254464;0.01;4912.29
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.160256;0.01;7800.02
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.8816;0.01;664.328
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.165808;0.01;7538.84
bench1_base_variant;512;2;1024;4096;0;0;0;0;0.773472;0.01;1616.09
bench2_base_variant_skipping;512;2;1024;4096;0;0;0;0;0.876544;0.01;1426.06
bench3_3pass_streaming;512;2;1024;4096;-0.5;-0.5;-0.5;-0.5;0.476064;0.01;2625.7
bench4_3pass_optimized_read_non_skipping_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;0.59432;0.01;2103.24
bench5_3pass_optimized_read_skipping_partial_pss;512;2;1024;4096;0;0;-0.5;0;0.298976;0.01;4180.94
bench6_3pass_optimized_read_skipping_two_phase_pss;512;2;1024;4096;0;0;0;0;0.302032;0.01;4138.63
bench7_3pass_optimized_read_skipping_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;0.174896;0.01;7147.1
bench8_cub_flagged;512;2;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88518;0.01;663.065
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;0.182688;0.01;6842.27
bench1_base_variant;1024;2;1024;4096;0;0;0;0;2.26304;0.01;552.354
bench2_base_variant_skipping;1024;2;1024;4096;0;0;0;0;1.068;0.01;1170.41
bench3_3pass_streaming;1024;2;1024;4096;-0.5;-0.5;-0.5;-0.5;0.465408;0.01;2685.82
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;0.605696;0.01;2063.74
bench5_3pass_optimized_read_skipping_partial_pss;1024;2;1024;4096;0;0;-0.5;0;0.295424;0.01;4231.21
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;2;1024;4096;0;0;0;0;0.292752;0.01;4269.83
bench7_3pass_optimized_read_skipping_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;0.176064;0.01;7099.69
bench8_cub_flagged;1024;2;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88309;0.01;663.803
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;0.182736;0.01;6840.47
bench1_base_variant;2048;2;1024;4096;0;0;0;0;3.83898;0.01;325.608
bench2_base_variant_skipping;2048;2;1024;4096;0;0;0;0;1.92154;0.01;650.521
bench3_3pass_streaming;2048;2;1024;4096;-0.5;-0.5;-0.5;-0.5;0.508816;0.01;2456.68
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;2;1024;4096;0;-0.5;-0.5;0;0.60416;0.01;2068.99
bench5_3pass_optimized_read_skipping_partial_pss;2048;2;1024;4096;0;0;-0.5;0;0.2796;0.01;4470.67
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;2;1024;4096;0;0;0;0;0.273968;0.01;4562.58
bench7_3pass_optimized_read_skipping_cub_pss;2048;2;1024;4096;0;-0.5;-0.5;0;0.168528;0.01;7417.17
bench8_cub_flagged;2048;2;1024;4096;-0.5;-0.5;-0.5;-0.5;1.8723;0.01;667.627
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;2;1024;4096;0;-0.5;-0.5;0;0.174592;0.01;7159.55
bench1_base_variant;4096;2;1024;4096;0;0;0;0;3.19736;0.01;390.948
bench2_base_variant_skipping;4096;2;1024;4096;0;0;0;0;2.16579;0.01;577.156
bench3_3pass_streaming;4096;2;1024;4096;-0.5;-0.5;-0.5;-0.5;0.453632;0.01;2755.54
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;2;1024;4096;0;-0.5;-0.5;0;0.584656;0.01;2138.01
bench5_3pass_optimized_read_skipping_partial_pss;4096;2;1024;4096;0;0;-0.5;0;0.268272;0.01;4659.45
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;2;1024;4096;0;0;0;0;0.261616;0.01;4778
bench7_3pass_optimized_read_skipping_cub_pss;4096;2;1024;4096;0;-0.5;-0.5;0;0.16544;0.01;7555.61
bench8_cub_flagged;4096;2;1024;4096;-0.5;-0.5;-0.5;-0.5;1.83694;0.01;680.478
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;2;1024;4096;0;-0.5;-0.5;0;0.172032;0.01;7266.09
bench1_base_variant;512;4;1024;4096;0;0;0;0;0.74496;0.01;1677.94
bench2_base_variant_skipping;512;4;1024;4096;0;0;0;0;0.737216;0.01;1695.57
bench3_3pass_streaming;512;4;1024;4096;-0.5;-0.5;-0.5;-0.5;0.489984;0.01;2551.1
bench4_3pass_optimized_read_non_skipping_cub_pss;512;4;1024;4096;0;-0.5;-0.5;0;0.594256;0.01;2103.47
bench5_3pass_optimized_read_skipping_partial_pss;512;4;1024;4096;0;0;-0.5;0;0.320832;0.01;3896.12
bench6_3pass_optimized_read_skipping_two_phase_pss;512;4;1024;4096;0;0;0;0;0.314768;0.01;3971.18
bench7_3pass_optimized_read_skipping_cub_pss;512;4;1024;4096;0;-0.5;-0.5;0;0.188416;0.01;6634.26
bench8_cub_flagged;512;4;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88774;0.01;662.166
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;4;1024;4096;0;-0.5;-0.5;0;0.196;0.01;6377.55
bench1_base_variant;1024;4;1024;4096;0;0;0;0;2.29069;0.01;545.688
bench2_base_variant_skipping;1024;4;1024;4096;0;0;0;0;1.19438;0.01;1046.56
bench3_3pass_streaming;1024;4;1024;4096;-0.5;-0.5;-0.5;-0.5;0.484864;0.01;2578.04
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;4;1024;4096;0;-0.5;-0.5;0;0.602624;0.01;2074.26
bench5_3pass_optimized_read_skipping_partial_pss;1024;4;1024;4096;0;0;-0.5;0;0.312288;0.01;4002.72
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;4;1024;4096;0;0;0;0;0.300576;0.01;4158.68
bench7_3pass_optimized_read_skipping_cub_pss;1024;4;1024;4096;0;-0.5;-0.5;0;0.185392;0.01;6742.47
bench8_cub_flagged;1024;4;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88413;0.01;663.437
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;4;1024;4096;0;-0.5;-0.5;0;0.190976;0.01;6545.33
bench1_base_variant;2048;4;1024;4096;0;0;0;0;3.24597;0.01;385.093
bench2_base_variant_skipping;2048;4;1024;4096;0;0;0;0;1.19091;0.01;1049.62
