benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;0.65472;0.01;1909.21
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.636368;0.01;1964.27
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.473088;0.01;2642.21
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.594832;0.01;2101.43
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.300032;0.01;4166.22
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.282624;0.01;4422.84
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.157184;0.01;7952.46
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88099;0.01;664.543
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.158624;0.01;7880.27
bench1_base_variant;1024;1;1024;4096;0;0;0;0;2.07872;0.01;601.332
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.09506;0.01;1141.49
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.463856;0.01;2694.8
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.592832;0.01;2108.52
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.282624;0.01;4422.84
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.27136;0.01;4606.43
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.157664;0.01;7928.25
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.87085;0.01;668.146
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.163328;0.01;7653.31
bench1_base_variant;2048;1;1024;4096;0;0;0;0;3.78003;0.01;330.685
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.85333;0.01;674.462
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.454752;0.01;2748.75
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.57856;0.01;2160.54
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.257024;0.01;4863.36
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.254464;0.01;4912.29
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.152544;0.01;8194.36
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.82733;0.01;684.059
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.158704;0.01;7876.3
bench1_base_variant;4096;1;1024;4096;0;0;0;0;4.35549;0.01;286.994
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;3.44256;0.01;363.102
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.453648;0.01;2755.44
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.585648;0.01;2134.39
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.25032;0.01;4993.61
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.252016;0.01;4960
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.157152;0.01;7954.08
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.84115;0.01;678.923
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.163792;0.01;7631.63
bench1_base_variant;512;2;1024;4096;0;0;0;0;0.767072;0.01;1629.57
bench2_base_variant_skipping;512;2;1024;4096;0;0;0;0;0.848752;0.01;1472.75
bench3_3pass_streaming;512;2;1024;4096;-0.5;-0.5;-0.5;-0.5;0.471136;0.01;2653.16
bench4_3pass_optimized_read_non_skipping_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;0.59392;0.01;2104.66
bench5_3pass_optimized_read_skipping_partial_pss;512;2;1024;4096;0;0;-0.5;0;0.29792;0.01;4195.76
bench6_3pass_optimized_read_skipping_two_phase_pss;512;2;1024;4096;0;0;0;0;0.300896;0.01;4154.26
bench7_3pass_optimized_read_skipping_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;0.174592;0.01;7159.55
bench8_cub_flagged;512;2;1024;4096;-0.5;-0.5;-0.5;-0.5;1.87378;0.01;667.102
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;0.18272;0.01;6841.07
bench1_base_variant;1024;2;1024;4096;0;0;0;0;2.09453;0.01;596.793
bench2_base_variant_skipping;1024;2;1024;4096;0;0;0;0;1.08493;0.01;1152.15
bench3_3pass_streaming;1024;2;1024;4096;-0.5;-0.5;-0.5;-0.5;0.465344;0.01;2686.18
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;0.607632;0.01;2057.17
bench5_3pass_optimized_read_skipping_partial_pss;1024;2;1024;4096;0;0;-0.5;0;0.29536;0.01;4232.12
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;2;1024;4096;0;0;0;0;0.29184;0.01;4283.17
bench7_3pass_optimized_read_skipping_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;0.175616;0.01;7117.8
bench8_cub_flagged;1024;2;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88109;0.01;664.509
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;0.182272;0.01;6857.88
bench1_base_variant;2048;2;1024;4096;0;0;0;0;3.82003;0.01;327.222
bench2_base_variant_skipping;2048;2;1024;4096;0;0;0;0;1.8728;0.01;667.45
bench3_3pass_streaming;2048;2;1024;4096;-0.5;-0.5;-0.5;-0.5;0.456288;0.01;2739.5
