benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;1.08896;0.01;1377.46
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.801792;0.01;1870.81
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.560624;0.01;2675.59
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.1561;0.01;1297.47
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.421632;0.01;3557.6
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.429136;0.01;3495.4
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.27288;0.01;5496.92
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.33875;0.01;449.27
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.283136;0.01;5297.81
bench1_base_variant;1024;1;1024;4096;0;0;0;0;3.18456;0.01;471.023
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.28256;0.01;1169.54
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.538624;0.01;2784.87
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.12858;0.01;1329.11
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.386976;0.01;3876.21
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.40192;0.01;3732.09
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.273824;0.01;5477.97
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.21582;0.01;466.443
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.285568;0.01;5252.69
bench1_base_variant;2048;1;1024;4096;0;0;0;0;6.03238;0.01;248.658
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;2.24829;0.01;667.174
