benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;0.655872;0.01;1905.86
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.62096;0.01;2013.01
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.475648;0.01;2627.99
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.594944;0.01;2101.04
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.300032;0.01;4166.22
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.282992;0.01;4417.09
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.157184;0.01;7952.46
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88875;0.01;661.813
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.158208;0.01;7900.99
bench1_base_variant;1024;1;1024;4096;0;0;0;0;2.04749;0.01;610.504
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.03629;0.01;1206.23
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.460736;0.01;2713.05
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.590624;0.01;2116.41
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.282096;0.01;4431.12
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.27136;0.01;4606.43
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.157088;0.01;7957.32
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.84;0.01;679.348
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.15912;0.01;7855.71
bench1_base_variant;2048;1;1024;4096;0;0;0;0;3.76678;0.01;331.848
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.80978;0.01;690.693
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.608768;0.01;2053.33
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.572928;0.01;2181.78
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.256;0.01;4882.81
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.25232;0.01;4954.03
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.150528;0.01;8304.1
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.82938;0.01;683.293
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.156304;0.01;7997.24
bench1_base_variant;4096;1;1024;4096;0;0;0;0;4.29258;0.01;291.2
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;3.37395;0.01;370.485
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.453056;0.01;2759.04
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.577504;0.01;2164.49
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.24864;0.01;5027.35
