benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;0.617904;0.01;1820.67
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.59528;0.01;1889.87
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.297504;0.01;3781.46
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.314304;0.01;3579.34
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.240576;0.01;4676.28
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.217456;0.01;5173.46
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.105984;0.01;10614.8
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.8339;0.01;613.445
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.105472;0.01;10666.3
bench1_base_variant;1024;1;1024;4096;0;0;0;0;1.62558;0.01;692.059
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.05984;0.01;1061.48
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.295856;0.01;3802.53
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.32;0.01;3515.62
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.23392;0.01;4809.34
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.207872;0.01;5411.98
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.103424;0.01;10877.6
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.83398;0.01;613.419
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.1024;0.01;10986.3
bench1_base_variant;2048;1;1024;4096;0;0;0;0;2.07832;0.01;541.303
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.93485;0.01;581.441
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.295456;0.01;3807.67
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.318544;0.01;3531.69
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.218736;0.01;5143.19
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.199648;0.01;5634.92
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.09984;0.01;11268
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.83091;0.01;614.448
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.101888;0.01;11041.5
bench1_base_variant;4096;1;1024;4096;0;0;0;0;2.24814;0.01;500.413
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;2.18008;0.01;516.036
