benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;0.65736;0.01;1901.55
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.623504;0.01;2004.8
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.485344;0.01;2575.49
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.594432;0.01;2102.85
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.29952;0.01;4173.34
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.283744;0.01;4405.38
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.157248;0.01;7949.23
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88774;0.01;662.166
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.159088;0.01;7857.29
bench1_base_variant;1024;1;1024;4096;0;0;0;0;2.11088;0.01;592.17
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.07264;0.01;1165.35
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.46752;0.01;2673.68
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.608176;0.01;2055.33
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.28928;0.01;4321.07
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.275968;0.01;4529.51
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.160848;0.01;7771.31
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.89338;0.01;660.196
