benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;0.655872;0.01;1905.86
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.63232;0.01;1976.85
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.476192;0.01;2624.99
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.59392;0.01;2104.66
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.29952;0.01;4173.34
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.28352;0.01;4408.86
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.158096;0.01;7906.59
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.8851;0.01;663.093
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.158688;0.01;7877.09
bench1_base_variant;1024;1;1024;4096;0;0;0;0;2.12941;0.01;587.018
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.11258;0.01;1123.52
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.469344;0.01;2663.29
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.606688;0.01;2060.37
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.287728;0.01;4344.38
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.274432;0.01;4554.86
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.159712;0.01;7826.59
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88461;0.01;663.268
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.164864;0.01;7582.01
bench1_base_variant;2048;1;1024;4096;0;0;0;0;3.84654;0.01;324.967
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.95994;0.01;637.776
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.466912;0.01;2677.16
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.604928;0.01;2066.36
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.265728;0.01;4704.06
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.262144;0.01;4768.37
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.156672;0.01;7978.45
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88358;0.01;663.628
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.162304;0.01;7701.6
bench1_base_variant;4096;1;1024;4096;0;0;0;0;4.4759;0.01;279.273
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;3.60499;0.01;346.741
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.465488;0.01;2685.35
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.611328;0.01;2044.73
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.257536;0.01;4853.69
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.256432;0.01;4874.59
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.159232;0.01;7850.18
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.87392;0.01;667.051
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.167936;0.01;7443.31
bench1_base_variant;512;1;1024;4096;0;0;0;0;2.36851;0.05;527.758
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;1.60973;0.05;776.529
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.616448;0.05;2027.75
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.737104;0.05;1695.83
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.464384;0.05;2691.74
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.448;0.05;2790.18
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.319408;0.05;3913.49
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.93997;0.05;644.341
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.31744;0.05;3937.75
bench1_base_variant;1024;1;1024;4096;0;0;0;0;2.71512;0.05;460.385
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.02605;0.05;1218.27
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.601376;0.05;2078.57
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.726528;0.05;1720.51
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.438272;0.05;2852.11
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.416768;0.05;2999.27
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.308736;0.05;4048.77
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.87939;0.05;665.109
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.313424;0.05;3988.21
bench1_base_variant;2048;1;1024;4096;0;0;0;0;3.92858;0.05;318.181
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.81862;0.05;687.333
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.592384;0.05;2110.12
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.711168;0.05;1757.67
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.413696;0.05;3021.54
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.40536;0.05;3083.68
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.303504;0.05;4118.56
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.8903;0.05;661.269
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.311184;0.05;4016.92
bench1_base_variant;4096;1;1024;4096;0;0;0;0;4.38877;0.05;284.818
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;3.4088;0.05;366.698
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.592304;0.05;2110.4
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.716768;0.05;1743.94
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.4064;0.05;3075.79
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.40192;0.05;3110.07
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.307152;0.05;4069.65
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88672;0.05;662.525
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.314736;0.05;3971.58
bench1_base_variant;512;1;1024;4096;0;0;0;0;7.03075;0.09;177.79
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;6.25306;0.09;199.902
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.745856;0.09;1675.93
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.8192;0.09;1525.88
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.582656;0.09;2145.35
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.5612;0.09;2227.37
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.431536;0.09;2896.63
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.96653;0.09;635.638
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.434176;0.09;2879.02
bench1_base_variant;1024;1;1024;4096;0;0;0;0;5.85421;0.09;213.522
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;2.94752;0.09;424.085
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.721472;0.09;1732.57
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.801232;0.09;1560.1
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.557568;0.09;2241.88
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.53504;0.09;2336.27
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.423424;0.09;2952.12
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.94765;0.09;641.8
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.425472;0.09;2937.91
bench1_base_variant;2048;1;1024;4096;0;0;0;0;4.60541;0.09;271.42
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.78483;0.09;700.346
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.718736;0.09;1739.16
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.799744;0.09;1563
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.53504;0.09;2336.27
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.515072;0.09;2426.85
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.413648;0.09;3021.89
