benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;0.656256;0.01;1904.74
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.61584;0.01;2029.75
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.474528;0.01;2634.2
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.594368;0.01;2103.07
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.29952;0.01;4173.34
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.282112;0.01;4430.86
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.157184;0.01;7952.46
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88811;0.01;662.037
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.158592;0.01;7881.86
bench1_base_variant;1024;1;1024;4096;0;0;0;0;2.10522;0.01;593.763
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.05472;0.01;1185.15
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.465328;0.01;2686.28
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.605696;0.01;2063.74
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.287216;0.01;4352.12
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.274816;0.01;4548.5
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.160256;0.01;7800.02
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.87843;0.01;665.449
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.165376;0.01;7558.53
bench1_base_variant;2048;1;1024;4096;0;0;0;0;3.83429;0.01;326.006
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.9031;0.01;656.822
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.464896;0.01;2688.77
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.605696;0.01;2063.74
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.265728;0.01;4704.06
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.2612;0.01;4785.6
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.15672;0.01;7976.01
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.87955;0.01;665.052
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.163216;0.01;7658.56
bench1_base_variant;4096;1;1024;4096;0;0;0;0;4.53274;0.01;275.772
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;3.5892;0.01;348.267
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.462896;0.01;2700.39
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.611216;0.01;2045.1
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.256;0.01;4882.81
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.256544;0.01;4872.46
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.160256;0.01;7800.02
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88518;0.01;663.065
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.167312;0.01;7471.07
bench1_base_variant;512;1;1024;4096;0;0;0;0;2.33882;0.05;534.458
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;1.56006;0.05;801.249
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.622544;0.05;2007.89
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.737744;0.05;1694.35
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.46328;0.05;2698.15
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.446896;0.05;2797.07
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.316928;0.05;3944.11
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.93587;0.05;645.704
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.316416;0.05;3950.5
bench1_base_variant;1024;1;1024;4096;0;0;0;0;2.90448;0.05;430.37
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.0608;0.05;1178.36
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.60416;0.05;2068.99
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.732656;0.05;1706.12
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.438416;0.05;2851.17
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.42544;0.05;2938.13
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.30912;0.05;4043.74
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.91386;0.05;653.132
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.315392;0.05;3963.32
bench1_base_variant;2048;1;1024;4096;0;0;0;0;3.90093;0.05;320.437
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.82477;0.05;685.019
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.595952;0.05;2097.48
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.7168;0.05;1743.86
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.415232;0.05;3010.37
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.40448;0.05;3090.39
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.302464;0.05;4132.72
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88518;0.05;663.065
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.309248;0.05;4042.06
bench1_base_variant;4096;1;1024;4096;0;0;0;0;4.37184;0.05;285.921
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;3.392;0.05;368.514
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.594304;0.05;2103.3
