benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;0.616448;0.01;1824.97
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.595872;0.01;1887.99
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.296768;0.01;3790.84
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.313344;0.01;3590.3
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.240032;0.01;4686.88
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.219648;0.01;5121.83
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.10592;0.01;10621.2
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.83962;0.01;611.541
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.104912;0.01;10723.3
bench1_base_variant;1024;1;1024;4096;0;0;0;0;1.60563;0.01;700.659
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.05062;0.01;1070.79
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.2944;0.01;3821.33
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.318464;0.01;3532.58
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.2304;0.01;4882.81
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.208368;0.01;5399.1
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.102912;0.01;10931.7
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.83034;0.01;614.641
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.101888;0.01;11041.5
bench1_base_variant;2048;1;1024;4096;0;0;0;0;2.04488;0.01;550.155
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.90459;0.01;590.678
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.294912;0.01;3814.7
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.318464;0.01;3532.58
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.215552;0.01;5219.16
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.19712;0.01;5707.18
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.099296;0.01;11329.8
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.82107;0.01;617.768
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.101376;0.01;11097.3
bench1_base_variant;4096;1;1024;4096;0;0;0;0;2.20877;0.01;509.334
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;2.13248;0.01;527.555
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.288256;0.01;3902.78
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.314272;0.01;3579.7
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.2048;0.01;5493.16
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.208384;0.01;5398.69
