benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;0.618928;0.01;1817.66
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.613376;0.01;1834.11
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.515168;0.01;2183.75
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.38824;0.01;2897.69
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.527424;0.01;2133.01
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.513472;0.01;2190.97
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.401936;0.01;2798.95
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.83704;0.01;612.398
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.330784;0.01;3401.01
bench1_base_variant;1024;1;1024;4096;0;0;0;0;1.15203;0.01;976.535
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.15566;0.01;973.466
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.500736;0.01;2246.69
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.385472;0.01;2918.5
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.51496;0.01;2184.64
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.500256;0.01;2248.85
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.395872;0.01;2841.83
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.83808;0.01;612.052
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.322448;0.01;3488.93
bench1_base_variant;2048;1;1024;4096;0;0;0;0;1.05523;0.01;1066.12
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.05421;0.01;1067.15
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.49448;0.01;2275.12
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.377744;0.01;2978.21
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.497696;0.01;2260.42
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.484864;0.01;2320.24
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.389504;0.01;2888.29
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.81606;0.01;619.472
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.314304;0.01;3579.34
bench1_base_variant;4096;1;1024;4096;0;0;0;0;0.715264;0.01;1572.85
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;0.713728;0.01;1576.23
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.492416;0.01;2284.65
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.38144;0.01;2949.35
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.480256;0.01;2342.5
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.478208;0.01;2352.53
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.390144;0.01;2883.55
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.81293;0.01;620.543
