benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;1.00864;0.01;1239.29
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;1.00234;0.01;1247.09
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.931728;0.01;1341.59
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.719984;0.01;1736.15
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.874496;0.01;1429.39
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.866816;0.01;1442.06
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.741376;0.01;1686.05
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.89491;0.01;659.661
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.613872;0.01;2036.25
bench1_base_variant;1024;1;1024;4096;0;0;0;0;1.99014;0.01;628.095
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.98656;0.01;629.228
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.924064;0.01;1352.72
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.730016;0.01;1712.29
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.8724;0.01;1432.83
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.859648;0.01;1454.08
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.745984;0.01;1675.64
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88826;0.01;661.987
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.611728;0.01;2043.39
bench1_base_variant;2048;1;1024;4096;0;0;0;0;3.17184;0.01;394.093
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;2.97771;0.01;419.785
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.922112;0.01;1355.58
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.72896;0.01;1714.77
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.861824;0.01;1450.41
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.828416;0.01;1508.9
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.726016;0.01;1721.73
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.86931;0.01;668.695
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.591312;0.01;2113.94
bench1_base_variant;4096;1;1024;4096;0;0;0;0;2.45606;0.01;508.944
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;2.44064;0.01;512.161
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.880576;0.01;1419.53
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.700944;0.01;1783.31
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.822272;0.01;1520.18
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.80896;0.01;1545.19
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.71424;0.01;1750.11
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.84832;0.01;676.29
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.579072;0.01;2158.63
bench1_base_variant;512;1;1024;4096;0;0;0;0;4.69555;0.05;266.209
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;4.69197;0.05;266.413
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.09304;0.05;1143.6
