benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;0.6108;0.01;1841.85
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.610816;0.01;1841.8
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.514432;0.01;2186.88
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.388064;0.01;2899.01
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.526624;0.01;2136.25
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.511488;0.01;2199.47
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.401312;0.01;2803.31
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.83898;0.01;611.753
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.331776;0.01;3390.84
bench1_base_variant;1024;1;1024;4096;0;0;0;0;1.14579;0.01;981.854
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.14637;0.01;981.36
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.512512;0.01;2195.07
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.39168;0.01;2872.24
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.52224;0.01;2154.18
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.508416;0.01;2212.75
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.394656;0.01;2850.58
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.8304;0.01;614.62
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.321536;0.01;3498.83
bench1_base_variant;2048;1;1024;4096;0;0;0;0;1.05677;0.01;1064.57
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.05517;0.01;1066.18
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.488448;0.01;2303.21
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.37616;0.01;2990.75
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.493056;0.01;2281.69
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.479744;0.01;2345
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.385024;0.01;2921.9
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.8144;0.01;620.04
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.310768;0.01;3620.06
bench1_base_variant;4096;1;1024;4096;0;0;0;0;0.709552;0.01;1585.51
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;0.710544;0.01;1583.29
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.488032;0.01;2305.18
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.377856;0.01;2977.32
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.476032;0.01;2363.29
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.475952;0.01;2363.68
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.385984;0.01;2914.63
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.81914;0.01;618.425
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.310304;0.01;3625.48
bench1_base_variant;512;1;1024;4096;0;0;0;0;2.67429;0.05;420.673
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;2.6648;0.05;422.171
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.722432;0.05;1557.24
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.756128;0.05;1487.84
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.885072;0.05;1271.08
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.87648;0.05;1283.54
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.764864;0.05;1470.85
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.8855;0.05;596.657
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.506368;0.05;2221.7
bench1_base_variant;1024;1;1024;4096;0;0;0;0;3.13744;0.05;358.573
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;3.13896;0.05;358.399
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.702464;0.05;1601.51
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.749568;0.05;1500.86
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.867216;0.05;1297.25
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.861184;0.05;1306.34
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.758272;0.05;1483.64
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.86707;0.05;602.548
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.50432;0.05;2230.73
bench1_base_variant;2048;1;1024;4096;0;0;0;0;3.48563;0.05;322.754
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;3.48712;0.05;322.616
