benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;1.03936;0.01;1082.4
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.932352;0.01;1206.63
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.370688;0.01;3034.9
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.308736;0.01;3643.89
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.33536;0.01;3354.6
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.336384;0.01;3344.39
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.131072;0.01;8583.07
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.9881;0.01;565.868
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.137728;0.01;8168.27
bench1_base_variant;1024;1;1024;4096;0;0;0;0;1.90413;0.01;590.822
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.65786;0.01;678.587
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.36608;0.01;3073.1
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.323584;0.01;3476.69
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.339968;0.01;3309.14
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.35072;0.01;3207.69
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.147456;0.01;7629.39
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.98758;0.01;566.014
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.1536;0.01;7324.22
bench1_base_variant;2048;1;1024;4096;0;0;0;0;3.29216;0.01;341.721
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;3.0761;0.01;365.723
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.365568;0.01;3077.4
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.323072;0.01;3482.2
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.301056;0.01;3736.85
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.313344;0.01;3590.3
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.134144;0.01;8386.51
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.73414;0.01;648.735
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.141312;0.01;7961.11
bench1_base_variant;4096;1;1024;4096;0;0;0;0;2.86566;0.01;392.579
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;2.7689;0.01;406.299
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.296448;0.01;3794.93
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.252928;0.01;4447.91
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.310784;0.01;3619.88
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.321024;0.01;3504.41
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.164864;0.01;6823.81
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.65478;0.01;679.847
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.173056;0.01;6500.79
bench1_base_variant;512;2;1024;4096;0;0;0;0;1.03373;0.01;1088.29
bench2_base_variant_skipping;512;2;1024;4096;0;0;0;0;0.950272;0.01;1183.87
bench3_3pass_streaming;512;2;1024;4096;-0.5;-0.5;-0.5;-0.5;0.370688;0.01;3034.9
bench4_3pass_optimized_read_non_skipping_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;0.3072;0.01;3662.11
bench5_3pass_optimized_read_skipping_partial_pss;512;2;1024;4096;0;0;-0.5;0;0.34816;0.01;3231.27
bench6_3pass_optimized_read_skipping_two_phase_pss;512;2;1024;4096;0;0;0;0;0.356864;0.01;3152.46
