benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;1.04909;0.01;1191.51
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.92416;0.01;1352.58
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.96;0.01;1302.08
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.55552;0.01;2250.14
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.392704;0.01;3183.06
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.41472;0.01;3014.08
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.196608;0.01;6357.83
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.35571;0.01;530.625
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.211968;0.01;5897.12
bench1_base_variant;1024;1;1024;4096;0;0;0;0;1.97274;0.01;633.638
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.63686;0.01;763.655
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.945152;0.01;1322.54
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.582656;0.01;2145.35
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.415744;0.01;3006.66
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.429568;0.01;2909.9
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.226304;0.01;5523.54
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.3936;0.01;522.226
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.243712;0.01;5129
bench1_base_variant;2048;1;1024;4096;0;0;0;0;3.51642;0.01;355.476
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;2.9481;0.01;424.002
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.6512;0.01;757.025
