benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;1.04858;0.01;1192.09
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.928256;0.01;1346.61
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.993792;0.01;1257.81
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.549888;0.01;2273.19
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.392704;0.01;3183.06
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.41472;0.01;3014.08
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.195584;0.01;6391.12
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.40742;0.01;519.227
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.210944;0.01;5925.74
bench1_base_variant;1024;1;1024;4096;0;0;0;0;1.97478;0.01;632.981
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.63584;0.01;764.133
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.95744;0.01;1305.56
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.581632;0.01;2149.12
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.417792;0.01;2991.92
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.429568;0.01;2909.9
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.228864;0.01;5461.76
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.43814;0.01;512.685
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.242176;0.01;5161.54
bench1_base_variant;2048;1;1024;4096;0;0;0;0;3.05459;0.01;409.22
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;2.31219;0.01;540.613
