benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;1.30099;0.01;1152.97
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;1.17504;0.01;1276.55
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.648704;0.01;2312.3
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.02963;0.01;1456.83
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.547328;0.01;2740.59
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.598016;0.01;2508.29
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.339968;0.01;4412.18
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;4.31462;0.01;347.655
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.366592;0.01;4091.74
bench1_base_variant;1024;1;1024;4096;0;0;0;0;2.36851;0.01;633.309
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;2.06285;0.01;727.15
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.642048;0.01;2336.27
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.09875;0.01;1365.19
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.6016;0.01;2493.35
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.625664;0.01;2397.45
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.400896;0.01;3741.62
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;4.28442;0.01;350.106
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.427008;0.01;3512.81
bench1_base_variant;2048;1;1024;4096;0;0;0;0;4.2752;0.01;350.861
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;3.67565;0.01;408.091
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.643072;0.01;2332.55
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.09414;0.01;1370.93
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.583168;0.01;2572.16
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.599552;0.01;2501.87
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.395264;0.01;3794.93
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;4.35354;0.01;344.548
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.422912;0.01;3546.84
bench1_base_variant;4096;1;1024;4096;0;0;0;0;6.84595;0.01;219.108
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;6.17933;0.01;242.745
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.592896;0.01;2529.95
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.975872;0.01;1537.09
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.4864;0.01;3083.88
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.4992;0.01;3004.81
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.33024;0.01;4542.15
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.49491;0.01;429.195
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.3456;0.01;4340.28
bench1_base_variant;512;2;1024;4096;0;0;0;0;1.30509;0.01;1149.35
bench2_base_variant_skipping;512;2;1024;4096;0;0;0;0;1.66042;0.01;903.388
bench3_3pass_streaming;512;2;1024;4096;-0.5;-0.5;-0.5;-0.5;0.715776;0.01;2095.63
bench4_3pass_optimized_read_non_skipping_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;1.03014;0.01;1456.11
bench5_3pass_optimized_read_skipping_partial_pss;512;2;1024;4096;0;0;-0.5;0;0.60416;0.01;2482.79
bench6_3pass_optimized_read_skipping_two_phase_pss;512;2;1024;4096;0;0;0;0;0.635904;0.01;2358.85
