benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;1.04806;0.01;1073.41
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.933888;0.01;1204.64
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.374784;0.01;3001.73
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.309248;0.01;3637.86
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.344064;0.01;3269.74
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.346112;0.01;3250.39
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.132608;0.01;8483.65
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.96608;0.01;572.205
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.137728;0.01;8168.27
bench1_base_variant;1024;1;1024;4096;0;0;0;0;1.90464;0.01;590.663
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.6553;0.01;679.637
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.367104;0.01;3064.53
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.324096;0.01;3471.19
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.338944;0.01;3319.13
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.346112;0.01;3250.39
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.147456;0.01;7629.4
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.99219;0.01;564.705
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.1536;0.01;7324.22
bench1_base_variant;2048;1;1024;4096;0;0;0;0;2.91533;0.01;385.891
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;2.68902;0.01;418.367
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.332288;0.01;3385.62
