benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;1.04909;0.01;1191.51
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.937472;0.01;1333.37
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.981504;0.01;1273.56
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.548864;0.01;2277.43
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.40192;0.01;3110.07
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.423936;0.01;2948.56
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.196096;0.01;6374.43
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.40538;0.01;519.669
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.211968;0.01;5897.12
bench1_base_variant;1024;1;1024;4096;0;0;0;0;1.984;0.01;630.04
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.63789;0.01;763.178
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.956416;0.01;1306.96
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.581632;0.01;2149.12
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.416256;0.01;3002.96
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.430592;0.01;2902.98
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.226816;0.01;5511.08
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.43866;0.01;512.577
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.242176;0.01;5161.54
bench1_base_variant;2048;1;1024;4096;0;0;0;0;3.51027;0.01;356.098
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;2.96499;0.01;421.586
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.963584;0.01;1297.24
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.58368;0.01;2141.58
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.407552;0.01;3067.09
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.424448;0.01;2945
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.2304;0.01;5425.35
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.3081;0.01;541.572
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.242688;0.01;5150.65
bench1_base_variant;4096;1;1024;4096;0;0;0;0;6.10867;0.01;204.627
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;5.55162;0.01;225.16
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.961024;0.01;1300.7
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.579584;0.01;2156.72
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.388608;0.01;3216.61
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.400896;0.01;3118.02
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.223232;0.01;5599.56
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.35366;0.01;531.087
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.236544;0.01;5284.43
bench1_base_variant;512;1;1024;4096;0;0;0;0;1.07162;0.05;1166.46
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.930816;0.05;1342.91
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.980992;0.05;1274.22
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.5632;0.05;2219.46
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.45056;0.05;2774.33
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.451584;0.05;2768.03
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.228352;0.05;5474
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.45197;0.05;509.795
