benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;1.05216;0.01;1188.03
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.929792;0.01;1344.39
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.05165;0.01;1188.61
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.5504;0.01;2271.08
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.401408;0.01;3114.04
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.412672;0.01;3029.04
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.195072;0.01;6407.89
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.54669;0.01;490.834
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.210944;0.01;5925.74
bench1_base_variant;1024;1;1024;4096;0;0;0;0;1.97478;0.01;632.981
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.63328;0.01;765.331
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.951808;0.01;1313.29
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.58112;0.01;2151.02
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.416768;0.01;2999.27
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.429568;0.01;2909.9
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.226816;0.01;5511.08
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.48115;0.01;503.798
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.242176;0.01;5161.54
bench1_base_variant;2048;1;1024;4096;0;0;0;0;3.51386;0.01;355.735
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;2.94758;0.01;424.076
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.07053;0.01;603.711
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.58368;0.01;2141.58
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.406016;0.01;3078.7
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.422912;0.01;2955.7
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.228864;0.01;5461.76
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.41562;0.01;517.466
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.2432;0.01;5139.8
bench1_base_variant;4096;1;1024;4096;0;0;0;0;6.13222;0.01;203.841
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;4.96486;0.01;251.769
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.933376;0.01;1339.22
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.516608;0.01;2419.63
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.357888;0.01;3492.71
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.36864;0.01;3390.84
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.20224;0.01;6180.78
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.13402;0.01;585.75
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.214528;0.01;5826.75
bench1_base_variant;512;1;1024;4096;0;0;0;0;1.03066;0.05;1212.82
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.920064;0.05;1358.6
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.17658;0.05;1062.4
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.536576;0.05;2329.59
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.434688;0.05;2875.63
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.439808;0.05;2842.15
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.222208;0.05;5625.36
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.30144;0.05;543.138
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.233984;0.05;5342.25
bench1_base_variant;1024;1;1024;4096;0;0;0;0;1.79712;0.05;695.557
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.51552;0.05;824.799
