benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;2.00448;0.01;997.765
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;1.33069;0.01;1502.98
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.51808;0.01;1317.45
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.01984;0.01;990.177
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.83712;0.01;2389.14
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.912384;0.01;2192.06
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.59136;0.01;3382.03
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;8.18483;0.01;244.354
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.62464;0.01;3201.84
bench1_base_variant;1024;1;1024;4096;0;0;0;0;2.11558;0.01;945.365
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.79354;0.01;1115.12
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.29178;0.01;1548.26
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.69626;0.01;1179.07
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.779776;0.01;2564.84
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.813568;0.01;2458.31
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.577024;0.01;3466.06
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.70054;0.01;298.483
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.615936;0.01;3247.09
bench1_base_variant;2048;1;1024;4096;0;0;0;0;3.51846;0.01;568.43
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;3.03309;0.01;659.394
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.27949;0.01;1563.13
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.6768;0.01;1192.75
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.76288;0.01;2621.64
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.77824;0.01;2569.9
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.566272;0.01;3531.87
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.68979;0.01;298.963
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.605696;0.01;3301.99
