benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;0.635904;0.01;1769.13
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.613376;0.01;1834.11
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.619008;0.01;1817.42
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.37376;0.01;3009.95
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.607744;0.01;1851.11
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.605696;0.01;1857.37
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.392704;0.01;2864.75
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.96506;0.01;572.503
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.365568;0.01;3077.4
bench1_base_variant;1024;1;1024;4096;0;0;0;0;0.688128;0.01;1634.87
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;0.685056;0.01;1642.2
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.61184;0.01;1838.72
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.390144;0.01;2883.55
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.615936;0.01;1826.49
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.60416;0.01;1862.09
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.403456;0.01;2788.41
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.97632;0.01;569.24
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.37632;0.01;2989.48
bench1_base_variant;2048;1;1024;4096;0;0;0;0;0.87296;0.01;1288.72
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;0.869888;0.01;1293.27
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.612864;0.01;1835.64
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.387584;0.01;2902.6
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.601088;0.01;1871.61
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.589312;0.01;1909.01
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.401408;0.01;2802.63
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.0311;0.01;553.886
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.374272;0.01;3005.84
bench1_base_variant;4096;1;1024;4096;0;0;0;0;1.13664;0.01;989.759
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;1.13715;0.01;989.314
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.612864;0.01;1835.64
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.386048;0.01;2914.15
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.571392;0.01;1968.88
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.571392;0.01;1968.88
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.398336;0.01;2824.25
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.01216;0.01;559.101
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.369152;0.01;3047.53
bench1_base_variant;512;1;1024;4096;0;0;0;0;1.83757;0.05;612.222
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;1.81709;0.05;619.122
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.677888;0.05;1659.57
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.677376;0.05;1660.82
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.905216;0.05;1242.8
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.905216;0.05;1242.8
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.691712;0.05;1626.4
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.04698;0.05;549.591
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.447488;0.05;2514.03
bench1_base_variant;1024;1;1024;4096;0;0;0;0;1.6;0.05;703.125
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.59693;0.05;704.478
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.674304;0.05;1668.39
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.689664;0.05;1631.23
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.91136;0.05;1234.42
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.903168;0.05;1245.62
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.702464;0.05;1601.51
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.01472;0.05;558.39
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.4608;0.05;2441.41
bench1_base_variant;2048;1;1024;4096;0;0;0;0;1.82682;0.05;615.826
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.8345;0.05;613.247
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.672256;0.05;1673.47
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.690176;0.05;1630.02
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.841728;0.05;1336.54
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.837632;0.05;1343.07
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.65792;0.05;1709.93
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.85549;0.05;606.309
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.441856;0.05;2546.08
bench1_base_variant;4096;1;1024;4096;0;0;0;0;2.23642;0.05;503.037
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;2.22362;0.05;505.933
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.6144;0.05;1831.05
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.613888;0.05;1832.58
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.774656;0.05;1452.26
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.776192;0.05;1449.38
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.61952;0.05;1815.92
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.67117;0.05;673.182
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.428032;0.05;2628.31
bench1_base_variant;512;1;1024;4096;0;0;0;0;2.81856;0.09;399.14
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;2.78118;0.09;404.504
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.841216;0.09;1337.35
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.824832;0.09;1363.91
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.05728;0.09;1064.05
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.05216;0.09;1069.23
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.837632;0.09;1343.07
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.0567;0.09;546.992
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.598016;0.09;1881.22
bench1_base_variant;1024;1;1024;4096;0;0;0;0;2.51136;0.09;447.964
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;2.50573;0.09;448.971
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.802304;0.09;1402.21
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.799744;0.09;1406.7
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;1.01325;0.09;1110.29
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;1.00045;0.09;1124.5
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.809472;0.09;1389.79
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.65837;0.09;678.378
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.592384;0.09;1899.11
bench1_base_variant;2048;1;1024;4096;0;0;0;0;2.0311;0.09;553.886
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;2.03418;0.09;553.049
