benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;0.823808;0.01;1517.34
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.804352;0.01;1554.05
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.5943;0.01;481.825
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.665088;0.01;1879.45
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.948224;0.01;1318.25
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.945152;0.01;1322.54
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.697344;0.01;1792.52
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.34957;0.01;532.013
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.666624;0.01;1875.12
bench1_base_variant;1024;1;1024;4096;0;0;0;0;1.25491;0.01;996.086
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.2544;0.01;996.492
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.39878;0.01;893.633
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.695808;0.01;1796.47
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.943616;0.01;1324.69
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.9344;0.01;1337.76
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.719872;0.01;1736.42
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.38029;0.01;525.146
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.68864;0.01;1815.17
bench1_base_variant;2048;1;1024;4096;0;0;0;0;1.10899;0.01;1127.15
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.11206;0.01;1124.04
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.40544;0.01;889.401
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.694272;0.01;1800.45
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.92928;0.01;1345.13
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.920064;0.01;1358.6
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.718848;0.01;1738.89
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.40333;0.01;520.112
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.6912;0.01;1808.45
bench1_base_variant;4096;1;1024;4096;0;0;0;0;1.33734;0.01;934.689
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;1.33939;0.01;933.259
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.31226;0.01;952.558
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.626176;0.01;1996.24
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.765952;0.01;1631.96
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.745472;0.01;1676.79
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.575488;0.01;2172.07
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88774;0.01;662.166
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.534528;0.01;2338.51
bench1_base_variant;512;1;1024;4096;0;0;0;0;2.80064;0.05;446.327
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;2.78426;0.05;448.953
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.49248;0.05;837.532
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.19501;0.05;1046.02
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.46586;0.05;852.744
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.45869;0.05;856.934
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.22112;0.05;1023.65
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.37158;0.05;527.074
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.730112;0.05;1712.07
bench1_base_variant;1024;1;1024;4096;0;0;0;0;3.84461;0.05;325.131
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;3.81798;0.05;327.398
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.41107;0.05;885.851
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.15046;0.05;1086.52
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;1.37574;0.05;908.599
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;1.37062;0.05;911.993
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.16685;0.05;1071.26
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.19648;0.05;569.092
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.705024;0.05;1772.99
bench1_base_variant;2048;1;1024;4096;0;0;0;0;2.67674;0.05;466.987
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;2.67571;0.05;467.165
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.34195;0.05;931.479
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.07674;0.05;1160.92
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;1.26976;0.05;984.438
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;1.26822;0.05;985.63
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.08698;0.05;1149.98
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.02189;0.05;618.234
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.656384;0.05;1904.37
bench1_base_variant;4096;1;1024;4096;0;0;0;0;2.72128;0.05;459.343
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;2.72486;0.05;458.738
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.33888;0.05;933.616
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.07059;0.05;1167.58
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;1.25184;0.05;998.53
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;1.25235;0.05;998.122
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.08186;0.05;1155.42
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.03162;0.05;615.274
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.648704;0.05;1926.92
bench1_base_variant;512;1;1024;4096;0;0;0;0;4.75904;0.09;262.658
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;4.75085;0.09;263.111
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.60205;0.09;780.251
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.34912;0.09;926.53
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.5959;0.09;783.255
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.59898;0.09;781.75
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.29843;0.09;962.7
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.00704;0.09;622.808
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.834048;0.09;1498.71
bench1_base_variant;1024;1;1024;4096;0;0;0;0;5.34118;0.09;234.031
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;5.37344;0.09;232.626
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.51859;0.09;823.131
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.29331;0.09;966.511
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;1.50221;0.09;832.109
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;1.49709;0.09;834.954
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.30662;0.09;956.664
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.9799;0.09;631.344
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.849408;0.09;1471.61
bench1_base_variant;2048;1;1024;4096;0;0;0;0;4.56346;0.09;273.915
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;4.56755;0.09;273.67
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.51962;0.09;822.576
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.29331;0.09;966.511
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;1.48378;0.09;842.445
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;1.48582;0.09;841.284
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.30458;0.09;958.166
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.01216;0.09;621.223
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.845824;0.09;1477.85
bench1_base_variant;4096;1;1024;4096;0;0;0;0;3.37971;0.09;369.854
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;3.37357;0.09;370.528
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.89491;0.09;659.661
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.29126;0.09;968.044
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;1.46586;0.09;852.744
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;1.472;0.09;849.185
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.30048;0.09;961.184
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.99475;0.09;626.644
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.843264;0.09;1482.34
bench1_base_variant;512;1;1024;4096;0;0;0;0;6.21824;0.13;201.022
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;6.21363;0.13;201.171
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.77869;0.13;702.765
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.45869;0.13;856.934
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.70752;0.13;732.056
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.61997;0.13;771.62
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.40544;0.13;889.401
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.07104;0.13;603.561
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.964096;0.13;1296.55
bench1_base_variant;1024;1;1024;4096;0;0;0;0;6.86234;0.13;182.154
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;6.89613;0.13;181.261
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.64966;0.13;757.73
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.40134;0.13;892.001
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;1.60768;0.13;777.518
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;1.60666;0.13;778.013
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.41568;0.13;882.968
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.99936;0.13;625.2
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.973824;0.13;1283.6
bench1_base_variant;2048;1;1024;4096;0;0;0;0;5.80762;0.13;215.235
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;5.82298;0.13;214.667
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.62867;0.13;767.496
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.40493;0.13;889.725
