benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;0.818688;0.01;1526.83
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.80896;0.01;1545.19
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.51654;0.01;824.242
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.664064;0.01;1882.35
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.932864;0.01;1339.96
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.923136;0.01;1354.08
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.695296;0.01;1797.8
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.42586;0.01;515.282
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.666112;0.01;1876.56
bench1_base_variant;1024;1;1024;4096;0;0;0;0;1.24774;0.01;1001.81
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.25389;0.01;996.899
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.39622;0.01;895.272
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.69376;0.01;1801.78
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.941056;0.01;1328.3
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.927232;0.01;1348.1
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.720896;0.01;1733.95
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.33984;0.01;534.225
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.688128;0.01;1816.52
bench1_base_variant;2048;1;1024;4096;0;0;0;0;1.10285;0.01;1133.43
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.0368;0.01;1205.63
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.29792;0.01;963.079
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.630784;0.01;1981.66
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.842752;0.01;1483.24
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.835584;0.01;1495.96
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.6528;0.01;1914.83
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.1417;0.01;583.65
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.612864;0.01;2039.6
bench1_base_variant;4096;1;1024;4096;0;0;0;0;1.22624;0.01;1019.38
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;1.22624;0.01;1019.38
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.22214;0.01;1022.79
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.56064;0.01;2229.59
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.746496;0.01;1674.49
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.738816;0.01;1691.9
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.574976;0.01;2174
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.93075;0.01;647.416
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.547328;0.01;2283.82
bench1_base_variant;512;1;1024;4096;0;0;0;0;2.80986;0.05;444.863
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;2.7904;0.05;447.964
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.52986;0.05;817.07
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.19603;0.05;1045.12
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.45715;0.05;857.838
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.45459;0.05;859.348
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.22163;0.05;1023.22
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.47194;0.05;505.677
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.730112;0.05;1712.07
bench1_base_variant;1024;1;1024;4096;0;0;0;0;3.89376;0.05;321.026
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;3.84154;0.05;325.391
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.3993;0.05;893.306
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.15046;0.05;1086.52
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;1.37728;0.05;907.586
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;1.37062;0.05;911.993
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.16634;0.05;1071.73
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.17907;0.05;573.639
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.704;0.05;1775.57
bench1_base_variant;2048;1;1024;4096;0;0;0;0;2.66496;0.05;469.05
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;2.67571;0.05;467.165
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.32813;0.05;941.174
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.07827;0.05;1159.26
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;1.26566;0.05;987.624
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;1.26515;0.05;988.024
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.08698;0.05;1149.98
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.99578;0.05;626.323
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.65536;0.05;1907.35
bench1_base_variant;4096;1;1024;4096;0;0;0;0;2.7177;0.05;459.948
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;2.72128;0.05;459.343
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.34912;0.05;926.53
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.0711;0.05;1167.02
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;1.25133;0.05;998.939
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;1.24928;0.05;1000.58
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.08186;0.05;1155.42
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.95942;0.05;637.943
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.648704;0.05;1926.92
bench1_base_variant;512;1;1024;4096;0;0;0;0;4.85786;0.09;257.315
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;4.75853;0.09;262.686
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.51187;0.09;497.637
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.42029;0.09;880.103
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.67117;0.09;747.98
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.67168;0.09;747.751
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.44538;0.09;864.827
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.50266;0.09;499.469
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.871424;0.09;1434.43
bench1_base_variant;1024;1;1024;4096;0;0;0;0;5.45997;0.09;228.939
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;5.33555;0.09;234.278
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.49965;0.09;833.529
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.29229;0.09;967.277
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;1.49043;0.09;838.683
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;1.48787;0.09;840.126
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.30458;0.09;958.166
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.02547;0.09;617.14
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.846336;0.09;1476.95
bench1_base_variant;2048;1;1024;4096;0;0;0;0;4.55629;0.09;274.346
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;4.55578;0.09;274.377
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.49453;0.09;836.384
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.2928;0.09;966.894
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;1.47507;0.09;847.416
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;1.47456;0.09;847.711
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.30253;0.09;959.672
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.98144;0.09;630.854
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.845824;0.09;1477.85
bench1_base_variant;4096;1;1024;4096;0;0;0;0;3.36026;0.09;371.995
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;3.36845;0.09;371.091
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.49965;0.09;833.529
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.28819;0.09;970.352
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;1.45715;0.09;857.838
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;1.45613;0.09;858.441
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.29997;0.09;961.562
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.99066;0.09;627.934
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.84224;0.09;1484.14
bench1_base_variant;512;1;1024;4096;0;0;0;0;6.23872;0.13;200.362
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;6.24589;0.13;200.132
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.72954;0.13;722.737
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.45459;0.13;859.348
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.68858;0.13;740.269
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.69062;0.13;739.372
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.47712;0.13;846.241
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.26765;0.13;551.232
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.97792;0.13;1278.22
bench1_base_variant;1024;1;1024;4096;0;0;0;0;6.8137;0.13;183.454
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;6.8951;0.13;181.288
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.61587;0.13;773.576
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.40237;0.13;891.349
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;1.59846;0.13;782.001
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;1.59386;0.13;784.262
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.41312;0.13;884.567
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.02445;0.13;617.452
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.972288;0.13;1285.63
bench1_base_variant;2048;1;1024;4096;0;0;0;0;5.80966;0.13;215.159
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;5.81581;0.13;214.931
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.62662;0.13;768.463
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.40493;0.13;889.725
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;1.58106;0.13;790.611
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;1.58259;0.13;789.844
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.4121;0.13;885.209
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.03827;0.13;613.265
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.968704;0.13;1290.38
bench1_base_variant;4096;1;1024;4096;0;0;0;0;3.79238;0.13;329.608
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;3.78317;0.13;330.411
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.61536;0.13;773.821
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.3993;0.13;893.306
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;1.56211;0.13;800.199
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;1.56314;0.13;799.674
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.40595;0.13;889.077
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.03571;0.13;614.036
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.968704;0.13;1290.38
bench1_base_variant;512;1;1024;4096;0;0;0;0;7.65082;0.17;163.381
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;7.64877;0.17;163.425
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.8048;0.17;692.598
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.54317;0.17;810.022
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.79558;0.17;696.152
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.80173;0.17;693.778
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.51706;0.17;823.964
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.17958;0.17;573.504
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.05421;0.17;1185.72
bench1_base_variant;1024;1;1024;4096;0;0;0;0;8.22221;0.17;152.027
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;8.30259;0.17;150.555
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.73722;0.17;719.542
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.46586;0.17;852.744
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;1.67066;0.17;748.209
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;1.67219;0.17;747.522
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.47763;0.17;845.948
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.01882;0.17;619.175
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.06291;0.17;1176.01
bench1_base_variant;2048;1;1024;4096;0;0;0;0;6.71283;0.17;186.211
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;6.73536;0.17;185.588
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.6983;0.17;736.028
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.46637;0.17;852.446
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;1.6512;0.17;757.025
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;1.65171;0.17;756.791
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.47456;0.17;847.711
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.02035;0.17;618.704
