benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;1.29485;0.01;1158.44
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;1.19142;0.01;1259
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.60307;0.01;935.703
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.23597;0.01;1213.62
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.53805;0.01;975.262
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.55443;0.01;964.983
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.30099;0.01;1152.97
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;4.32742;0.01;346.627
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.25798;0.01;1192.38
bench1_base_variant;1024;1;1024;4096;0;0;0;0;1.81965;0.01;824.335
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.81965;0.01;824.335
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.59846;0.01;938.401
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.30355;0.01;1150.7
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;1.57286;0.01;953.674
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;1.57286;0.01;953.674
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.34605;0.01;1114.37
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;4.36941;0.01;343.296
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.30304;0.01;1151.15
bench1_base_variant;2048;1;1024;4096;0;0;0;0;2.26406;0.01;662.525
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;2.12838;0.01;704.76
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.25952;0.01;1190.93
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.04858;0.01;1430.51
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;1.2672;0.01;1183.71
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;1.26106;0.01;1189.48
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.07776;0.01;1391.78
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.52563;0.01;425.456
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.0153;0.01;1477.4
bench1_base_variant;4096;1;1024;4096;0;0;0;0;1.65683;0.01;905.342
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;1.6599;0.01;903.667
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.25235;0.01;1197.75
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.05421;0.01;1422.87
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;1.25952;0.01;1190.93
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;1.25184;0.01;1198.24
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.08083;0.01;1387.82
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.51693;0.01;426.509
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.0199;0.01;1470.73
bench1_base_variant;512;1;1024;4096;0;0;0;0;3.95366;0.05;379.395
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;3.9424;0.05;380.479
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.68653;0.05;889.401
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.18163;0.05;687.559
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;2.45965;0.05;609.843
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;2.47603;0.05;605.808
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.26816;0.05;661.329
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;4.35302;0.05;344.588
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.33734;0.05;1121.63
bench1_base_variant;1024;1;1024;4096;0;0;0;0;6.74918;0.05;222.249
