benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;0.965152;0.01;1165.62
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.83928;0.01;1340.43
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.515936;0.01;2180.5
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.434016;0.01;2592.07
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.32832;0.01;3426.54
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.284368;0.01;3956.14
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.156624;0.01;7182.81
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.21755;0.01;507.316
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.157456;0.01;7144.85
bench1_base_variant;1024;1;1024;4096;0;0;0;0;2.81496;0.01;399.65
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.53627;0.01;732.292
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.505216;0.01;2226.77
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.470224;0.01;2392.48
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.3212;0.01;3502.49
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.279504;0.01;4024.99
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.171888;0.01;6544.96
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.11696;0.01;531.422
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.171424;0.01;6562.67
bench1_base_variant;2048;1;1024;4096;0;0;0;0;3.0332;0.01;370.895
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;2.23802;0.01;502.677
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.439872;0.01;2557.56
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.377088;0.01;2983.39
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.27328;0.01;4116.66
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.239872;0.01;4690
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.145936;0.01;7708.86
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.98128;0.01;567.815
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.144704;0.01;7774.49
bench1_base_variant;4096;1;1024;4096;0;0;0;0;2.84874;0.01;394.912
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;2.6772;0.01;420.215
