benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;1.11822;0.01;1117.84
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.910896;0.01;1372.28
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.01957;0.01;1226.01
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.818544;0.01;1527.1
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.428448;0.01;2917.51
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.387888;0.01;3222.58
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.24024;0.01;5203.13
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.43517;0.01;513.312
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.243072;0.01;5142.51
bench1_base_variant;1024;1;1024;4096;0;0;0;0;4.58467;0.01;272.648
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.48946;0.01;839.233
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.935392;0.01;1336.34
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.81448;0.01;1534.72
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.431872;0.01;2894.38
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.390016;0.01;3205
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.253856;0.01;4924.05
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.16152;0.01;578.297
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.249472;0.01;5010.58
bench1_base_variant;2048;1;1024;4096;0;0;0;0;4.95128;0.01;252.46
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;2.30094;0.01;543.255
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.886816;0.01;1409.54
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.709648;0.01;1761.44
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.361504;0.01;3457.78
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.3312;0.01;3774.15
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.229808;0.01;5439.32
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.10795;0.01;592.993
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.236704;0.01;5280.86
bench1_base_variant;4096;1;1024;4096;0;0;0;0;5.9321;0.01;210.718
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;4.27403;0.01;292.464
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.87512;0.01;1428.38
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.70792;0.01;1765.74
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.345392;0.01;3619.08
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.325216;0.01;3843.6
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.230368;0.01;5426.1
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.10522;0.01;593.763
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.240704;0.01;5193.1
bench1_base_variant;512;2;1024;4096;0;0;0;0;1.14256;0.01;1094.03
bench2_base_variant_skipping;512;2;1024;4096;0;0;0;0;0.970672;0.01;1287.77
bench3_3pass_streaming;512;2;1024;4096;-0.5;-0.5;-0.5;-0.5;1.01523;0.01;1231.25
bench4_3pass_optimized_read_non_skipping_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;0.816496;0.01;1530.93
bench5_3pass_optimized_read_skipping_partial_pss;512;2;1024;4096;0;0;-0.5;0;0.427488;0.01;2924.06
bench6_3pass_optimized_read_skipping_two_phase_pss;512;2;1024;4096;0;0;0;0;0.399712;0.01;3127.25
bench7_3pass_optimized_read_skipping_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;0.254624;0.01;4909.2
bench8_cub_flagged;512;2;1024;4096;-0.5;-0.5;-0.5;-0.5;2.43384;0.01;513.592
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;0.262512;0.01;4761.69
bench1_base_variant;1024;2;1024;4096;0;0;0;0;4.79685;0.01;260.588
bench2_base_variant_skipping;1024;2;1024;4096;0;0;0;0;1.63725;0.01;763.476
bench3_3pass_streaming;1024;2;1024;4096;-0.5;-0.5;-0.5;-0.5;0.971456;0.01;1286.73
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;0.894448;0.01;1397.51
bench5_3pass_optimized_read_skipping_partial_pss;1024;2;1024;4096;0;0;-0.5;0;0.467536;0.01;2673.59
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;2;1024;4096;0;0;0;0;0.444704;0.01;2810.86
bench7_3pass_optimized_read_skipping_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;0.317968;0.01;3931.21
bench8_cub_flagged;1024;2;1024;4096;-0.5;-0.5;-0.5;-0.5;2.42678;0.01;515.085
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;0.326432;0.01;3829.28
