benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;1.10688;0.01;1129.3
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.891296;0.01;1402.45
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.02344;0.01;1221.37
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.818448;0.01;1527.28
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.426048;0.01;2933.94
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.3868;0.01;3231.64
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.2396;0.01;5217.03
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.42784;0.01;514.861
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.243328;0.01;5137.1
bench1_base_variant;1024;1;1024;4096;0;0;0;0;4.66886;0.01;267.731
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.59302;0.01;784.671
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.976448;0.01;1280.15
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.895712;0.01;1395.54
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.469216;0.01;2664.02
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.42344;0.01;2952.01
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.295856;0.01;4225.03
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.42888;0.01;514.641
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.298992;0.01;4180.71
bench1_base_variant;2048;1;1024;4096;0;0;0;0;5.06909;0.01;246.593
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;2.3581;0.01;530.089
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.888848;0.01;1406.31
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.720816;0.01;1734.15
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.364784;0.01;3426.69
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.333872;0.01;3743.95
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.231536;0.01;5398.73
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.12803;0.01;587.397
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.236768;0.01;5279.43
bench1_base_variant;4096;1;1024;4096;0;0;0;0;5.90637;0.01;211.636
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;4.26334;0.01;293.197
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.878768;0.01;1422.45
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.70816;0.01;1765.14
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.344464;0.01;3628.83
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.325808;0.01;3836.62
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.231184;0.01;5406.95
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.10798;0.01;592.984
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.237824;0.01;5255.99
bench1_base_variant;512;2;1024;4096;0;0;0;0;1.14355;0.01;1093.09
bench2_base_variant_skipping;512;2;1024;4096;0;0;0;0;0.905136;0.01;1381.01
bench3_3pass_streaming;512;2;1024;4096;-0.5;-0.5;-0.5;-0.5;1.01077;0.01;1236.68
bench4_3pass_optimized_read_non_skipping_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;0.816752;0.01;1530.45
bench5_3pass_optimized_read_skipping_partial_pss;512;2;1024;4096;0;0;-0.5;0;0.426496;0.01;2930.86
bench6_3pass_optimized_read_skipping_two_phase_pss;512;2;1024;4096;0;0;0;0;0.401392;0.01;3114.16
bench7_3pass_optimized_read_skipping_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;0.253312;0.01;4934.63
bench8_cub_flagged;512;2;1024;4096;-0.5;-0.5;-0.5;-0.5;2.43259;0.01;513.855
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;0.263104;0.01;4750.97
bench1_base_variant;1024;2;1024;4096;0;0;0;0;4.64114;0.01;269.331
bench2_base_variant_skipping;1024;2;1024;4096;0;0;0;0;1.61216;0.01;775.357
bench3_3pass_streaming;1024;2;1024;4096;-0.5;-0.5;-0.5;-0.5;0.971808;0.01;1286.26
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;0.895392;0.01;1396.04
bench5_3pass_optimized_read_skipping_partial_pss;1024;2;1024;4096;0;0;-0.5;0;0.467344;0.01;2674.69
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;2;1024;4096;0;0;0;0;0.445488;0.01;2805.91
bench7_3pass_optimized_read_skipping_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;0.303184;0.01;4122.91
bench8_cub_flagged;1024;2;1024;4096;-0.5;-0.5;-0.5;-0.5;2.30549;0.01;542.185
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;0.304032;0.01;4111.41
bench1_base_variant;2048;2;1024;4096;0;0;0;0;4.92333;0.01;253.893
bench2_base_variant_skipping;2048;2;1024;4096;0;0;0;0;2.32251;0.01;538.21
bench3_3pass_streaming;2048;2;1024;4096;-0.5;-0.5;-0.5;-0.5;0.877584;0.01;1424.37
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;2;1024;4096;0;-0.5;-0.5;0;0.715936;0.01;1745.97
bench5_3pass_optimized_read_skipping_partial_pss;2048;2;1024;4096;0;0;-0.5;0;0.363824;0.01;3435.73
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;2;1024;4096;0;0;0;0;0.349904;0.01;3572.41
bench7_3pass_optimized_read_skipping_cub_pss;2048;2;1024;4096;0;-0.5;-0.5;0;0.24752;0.01;5050.1
bench8_cub_flagged;2048;2;1024;4096;-0.5;-0.5;-0.5;-0.5;2.11498;0.01;591.023
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;2;1024;4096;0;-0.5;-0.5;0;0.255568;0.01;4891.07
bench1_base_variant;4096;2;1024;4096;0;0;0;0;4.55198;0.01;274.606
bench2_base_variant_skipping;4096;2;1024;4096;0;0;0;0;2.58272;0.01;483.986
bench3_3pass_streaming;4096;2;1024;4096;-0.5;-0.5;-0.5;-0.5;0.876128;0.01;1426.73
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;2;1024;4096;0;-0.5;-0.5;0;0.70672;0.01;1768.73
bench5_3pass_optimized_read_skipping_partial_pss;4096;2;1024;4096;0;0;-0.5;0;0.35472;0.01;3523.91
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;2;1024;4096;0;0;0;0;0.34096;0.01;3666.12
bench7_3pass_optimized_read_skipping_cub_pss;4096;2;1024;4096;0;-0.5;-0.5;0;0.248672;0.01;5026.7
bench8_cub_flagged;4096;2;1024;4096;-0.5;-0.5;-0.5;-0.5;2.11386;0.01;591.336
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;2;1024;4096;0;-0.5;-0.5;0;0.254144;0.01;4918.47
bench1_base_variant;512;4;1024;4096;0;0;0;0;1.28032;0.01;976.318
bench2_base_variant_skipping;512;4;1024;4096;0;0;0;0;0.902064;0.01;1385.71
bench3_3pass_streaming;512;4;1024;4096;-0.5;-0.5;-0.5;-0.5;1.01627;0.01;1229.99
bench4_3pass_optimized_read_non_skipping_cub_pss;512;4;1024;4096;0;-0.5;-0.5;0;0.81584;0.01;1532.16
bench5_3pass_optimized_read_skipping_partial_pss;512;4;1024;4096;0;0;-0.5;0;0.441728;0.01;2829.8
bench6_3pass_optimized_read_skipping_two_phase_pss;512;4;1024;4096;0;0;0;0;0.4232;0.01;2953.69
bench7_3pass_optimized_read_skipping_cub_pss;512;4;1024;4096;0;-0.5;-0.5;0;0.274848;0.01;4547.97
bench8_cub_flagged;512;4;1024;4096;-0.5;-0.5;-0.5;-0.5;2.43048;0.01;514.302
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;4;1024;4096;0;-0.5;-0.5;0;0.284048;0.01;4400.66
bench1_base_variant;1024;4;1024;4096;0;0;0;0;4.52758;0.01;276.085
bench2_base_variant_skipping;1024;4;1024;4096;0;0;0;0;1.61197;0.01;775.45
bench3_3pass_streaming;1024;4;1024;4096;-0.5;-0.5;-0.5;-0.5;0.979312;0.01;1276.41
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;4;1024;4096;0;-0.5;-0.5;0;0.894144;0.01;1397.99
bench5_3pass_optimized_read_skipping_partial_pss;1024;4;1024;4096;0;0;-0.5;0;0.489696;0.01;2552.6
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;4;1024;4096;0;0;0;0;0.432208;0.01;2892.13
bench7_3pass_optimized_read_skipping_cub_pss;1024;4;1024;4096;0;-0.5;-0.5;0;0.310288;0.01;4028.52
bench8_cub_flagged;1024;4;1024;4096;-0.5;-0.5;-0.5;-0.5;2.31331;0.01;540.351
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;4;1024;4096;0;-0.5;-0.5;0;0.316736;0.01;3946.5
bench1_base_variant;2048;4;1024;4096;0;0;0;0;4.19394;0.01;298.049
bench2_base_variant_skipping;2048;4;1024;4096;0;0;0;0;1.45878;0.01;856.878
bench3_3pass_streaming;2048;4;1024;4096;-0.5;-0.5;-0.5;-0.5;0.890304;0.01;1404.01
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;4;1024;4096;0;-0.5;-0.5;0;0.71416;0.01;1750.31
bench5_3pass_optimized_read_skipping_partial_pss;2048;4;1024;4096;0;0;-0.5;0;0.389392;0.01;3210.13
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;4;1024;4096;0;0;0;0;0.3604;0.01;3468.37
bench7_3pass_optimized_read_skipping_cub_pss;2048;4;1024;4096;0;-0.5;-0.5;0;0.258944;0.01;4827.3
bench8_cub_flagged;2048;4;1024;4096;-0.5;-0.5;-0.5;-0.5;2.11322;0.01;591.516
