benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;1.10832;0.01;1127.83
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.892352;0.01;1400.79
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.03102;0.01;1212.39
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.817488;0.01;1529.07
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.426064;0.01;2933.83
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.387296;0.01;3227.51
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.240208;0.01;5203.82
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.43446;0.01;513.46
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.24296;0.01;5144.88
bench1_base_variant;1024;1;1024;4096;0;0;0;0;4.61984;0.01;270.572
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.58565;0.01;788.321
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.979584;0.01;1276.05
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.896144;0.01;1394.86
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.46648;0.01;2679.64
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.421568;0.01;2965.12
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.2956;0.01;4228.69
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.42338;0.01;515.809
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.298944;0.01;4181.39
bench1_base_variant;2048;1;1024;4096;0;0;0;0;5.17784;0.01;241.413
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;2.62744;0.01;475.748
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.92688;0.01;1348.61
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.810128;0.01;1542.97
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.397664;0.01;3143.36
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.362592;0.01;3447.4
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.235328;0.01;5311.74
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.14298;0.01;583.301
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.243392;0.01;5135.75
bench1_base_variant;4096;1;1024;4096;0;0;0;0;5.9532;0.01;209.971
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;4.28285;0.01;291.862
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.880832;0.01;1419.11
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.708688;0.01;1763.82
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.345392;0.01;3619.08
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.322096;0.01;3880.83
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.230656;0.01;5419.33
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.10906;0.01;592.682
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.238384;0.01;5243.64
