benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1024;4096;0;0;0;0;0.970896;0.01;1158.72
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;0.836352;0.01;1345.13
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;0.516944;0.01;2176.25
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.434768;0.01;2587.59
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;0.32912;0.01;3418.21
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;0.28456;0.01;3953.47
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.157392;0.01;7147.76
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.21403;0.01;508.123
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.1576;0.01;7138.32
bench1_base_variant;1024;1024;4096;0;0;0;0;2.69482;0.01;417.468
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;1.38994;0.01;809.39
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;0.481584;0.01;2336.04
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.426656;0.01;2636.78
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;0.317648;0.01;3541.66
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;0.259376;0.01;4337.33
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.160992;0.01;6987.93
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.98699;0.01;566.182
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.154768;0.01;7268.94
bench1_base_variant;2048;1024;4096;0;0;0;0;2.99227;0.01;375.969
