benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1024;4096;0;0;0;0;1.12219;0.01;1113.89
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;0.908048;0.01;1376.58
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.01987;0.01;1225.64
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.817744;0.01;1528.6
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;0.427904;0.01;2921.22
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;0.386048;0.01;3237.94
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.240528;0.01;5196.9
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.42848;0.01;514.725
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.242672;0.01;5150.99
bench1_base_variant;1024;1024;4096;0;0;0;0;4.61504;0.01;270.854
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;1.31347;0.01;951.676
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;0.901056;0.01;1387.26
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.737104;0.01;1695.83
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;0.39792;0.01;3141.33
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;0.359712;0.01;3475
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.24624;0.01;5076.35
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.12274;0.01;588.863
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.24296;0.01;5144.88
bench1_base_variant;2048;1024;4096;0;0;0;0;4.94469;0.01;252.797
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;2.28379;0.01;547.335
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;0.871728;0.01;1433.93
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.705296;0.01;1772.31
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;0.359536;0.01;3476.7
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;0.329072;0.01;3798.56
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.228144;0.01;5479
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.10582;0.01;593.592
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.235888;0.01;5299.12
bench1_base_variant;4096;1024;4096;0;0;0;0;5.86938;0.01;212.97
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;4.27026;0.01;292.723
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;0.87136;0.01;1434.54
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.704752;0.01;1773.67
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;0.344336;0.01;3630.18
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;0.325904;0.01;3835.49
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.2308;0.01;5415.94
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.11019;0.01;592.363
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.238208;0.01;5247.51
bench1_base_variant;512;1024;4096;0;0;0;0;4.07942;0.05;306.416
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;3.42123;0.05;365.365
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.19002;0.05;1050.41
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.963136;0.05;1297.84
