benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1024;4096;0;0;0;0;1.10666;0.01;1129.53
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;0.889888;0.01;1404.67
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.02037;0.01;1225.05
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.818096;0.01;1527.94
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;0.427008;0.01;2927.35
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;0.387648;0.01;3224.57
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.240528;0.01;5196.9
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.43243;0.01;513.889
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.24312;0.01;5141.49
bench1_base_variant;1024;1024;4096;0;0;0;0;4.73925;0.01;263.755
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;1.59835;0.01;782.056
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;0.9744;0.01;1282.84
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.896416;0.01;1394.44
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;0.467872;0.01;2671.67
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;0.421792;0.01;2963.55
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.295648;0.01;4228
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.42486;0.01;515.493
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.298528;0.01;4187.21
bench1_base_variant;2048;1024;4096;0;0;0;0;5.25253;0.01;237.981
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;2.62861;0.01;475.537
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;0.928944;0.01;1345.61
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.80944;0.01;1544.28
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;0.40136;0.01;3114.41
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;0.364624;0.01;3428.19
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.258576;0.01;4834.17
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.24896;0.01;555.812
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.242048;0.01;5164.27
bench1_base_variant;4096;1024;4096;0;0;0;0;5.76048;0.01;216.996
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;4.28456;0.01;291.745
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;0.870368;0.01;1436.17
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.70864;0.01;1763.94
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;0.344592;0.01;3627.48
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;0.329136;0.01;3797.82
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.231488;0.01;5399.85
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.11054;0.01;592.264
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.238592;0.01;5239.07
bench1_base_variant;512;1024;4096;0;0;0;0;4.11037;0.05;304.109
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;3.47171;0.05;360.053
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.1903;0.05;1050.15
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.962816;0.05;1298.28
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;0.599584;0.05;2084.78
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;0.557552;0.05;2241.94
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.41184;0.05;3035.16
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.49283;0.05;501.438
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.41624;0.05;3003.08
bench1_base_variant;1024;1024;4096;0;0;0;0;6.09464;0.05;205.098
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;1.51437;0.05;825.427
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.11259;0.05;1123.5
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.878736;0.05;1422.5
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;0.568432;0.05;2199.03
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;0.526;0.05;2376.43
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.411888;0.05;3034.81
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.1921;0.05;570.23
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.414112;0.05;3018.51
bench1_base_variant;2048;1024;4096;0;0;0;0;5.85128;0.05;213.628
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;2.30408;0.05;542.516
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;1.0611;0.05;1178.02
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.852;0.05;1467.14
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;0.532;0.05;2349.62
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;0.501248;0.05;2493.78
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.3996;0.05;3128.13
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.18328;0.05;572.533
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.40616;0.05;3077.6
bench1_base_variant;4096;1024;4096;0;0;0;0;6.33187;0.05;197.414
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;4.28413;0.05;291.775
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.05635;0.05;1183.32
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.850944;0.05;1468.96
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;0.51624;0.05;2421.35
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;0.495648;0.05;2521.95
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.400304;0.05;3122.63
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.1807;0.05;573.209
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.406784;0.05;3072.88
bench1_base_variant;512;1024;4096;0;0;0;0;12.6791;0.09;98.5873
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;12.3307;0.09;101.373
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.38246;0.09;904.183
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.13005;0.09;1106.15
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;0.795744;0.09;1570.86
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;0.725056;0.09;1724
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.584032;0.09;2140.29
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.4137;0.09;517.878
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.586704;0.09;2130.55
bench1_base_variant;1024;1024;4096;0;0;0;0;12.3403;0.09;101.294
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;5.18589;0.09;241.039
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.23702;0.09;1010.49
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.01675;0.09;1229.41
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;0.745728;0.09;1676.21
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;0.708656;0.09;1763.9
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.600208;0.09;2082.61
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.25573;0.09;554.145
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.59728;0.09;2092.82
bench1_base_variant;2048;1024;4096;0;0;0;0;7.32707;0.09;170.6
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;2.33406;0.09;535.547
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;1.23309;0.09;1013.72
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.01158;0.09;1235.69
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;0.717648;0.09;1741.8
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;0.69096;0.09;1809.08
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.58688;0.09;2129.91
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.24706;0.09;556.283
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.59232;0.09;2110.35
bench1_base_variant;4096;1024;4096;0;0;0;0;6.4721;0.09;193.137
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;4.26464;0.09;293.108
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.23094;0.09;1015.48
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.01446;0.09;1232.18
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;0.699904;0.09;1785.96
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;0.680544;0.09;1836.77
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.584064;0.09;2140.18
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.248;0.09;556.05
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.592096;0.09;2111.14
