benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1024;4096;0;0;0;0;1.12045;0.01;1115.63
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;0.896912;0.01;1393.67
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.02205;0.01;1223.03
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.8196;0.01;1525.13
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;0.428672;0.01;2915.98
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;0.38848;0.01;3217.67
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.240176;0.01;5204.52
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.43218;0.01;513.943
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.243872;0.01;5125.64
bench1_base_variant;1024;1024;4096;0;0;0;0;4.54802;0.01;274.845
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;1.46034;0.01;855.967
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;0.996832;0.01;1253.97
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.803104;0.01;1556.46
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;0.428288;0.01;2918.6
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;0.386736;0.01;3232.18
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.266912;0.01;4683.19
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.26595;0.01;551.645
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.265392;0.01;4710.01
bench1_base_variant;2048;1024;4096;0;0;0;0;4.90165;0.01;255.016
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;2.21926;0.01;563.25
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;0.8684;0.01;1439.43
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.68536;0.01;1823.86
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;0.354448;0.01;3526.61
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;0.326128;0.01;3832.85
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.22224;0.01;5624.55
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.08568;0.01;599.325
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.229904;0.01;5437.05
bench1_base_variant;4096;1024;4096;0;0;0;0;5.78219;0.01;216.181
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;4.15766;0.01;300.65
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;0.863248;0.01;1448.02
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.686656;0.01;1820.42
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;0.338128;0.01;3696.82
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;0.31848;0.01;3924.89
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.225936;0.01;5532.54
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.08395;0.01;599.822
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.231872;0.01;5390.91
bench1_base_variant;512;1024;4096;0;0;0;0;4.03694;0.05;309.64
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;3.41958;0.05;365.542
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.19685;0.05;1044.41
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.89392;0.05;1398.34
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;0.57312;0.05;2181.04
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;0.533504;0.05;2343
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.393536;0.05;3176.33
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.35626;0.05;530.503
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.394656;0.05;3167.32
bench1_base_variant;1024;1024;4096;0;0;0;0;5.98171;0.05;208.97
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;1.32755;0.05;941.583
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.08877;0.05;1148.09
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.840576;0.05;1487.08
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;0.555776;0.05;2249.11
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;0.517344;0.05;2416.19
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.404832;0.05;3087.7
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.1665;0.05;576.969
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.408272;0.05;3061.68
bench1_base_variant;2048;1024;4096;0;0;0;0;5.7891;0.05;215.923
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;2.2696;0.05;550.758
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;1.05387;0.05;1186.1
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.8356;0.05;1495.93
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;0.524976;0.05;2381.06
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;0.496672;0.05;2516.75
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.396112;0.05;3155.67
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.16552;0.05;577.229
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.401936;0.05;3109.95
bench1_base_variant;4096;1024;4096;0;0;0;0;5.95368;0.05;209.954
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;4.19117;0.05;298.246
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.05229;0.05;1187.89
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.836048;0.05;1495.13
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;0.5096;0.05;2452.9
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;0.489424;0.05;2554.02
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.398288;0.05;3138.43
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.16408;0.05;577.613
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.402384;0.05;3106.49
bench1_base_variant;512;1024;4096;0;0;0;0;12.7828;0.09;97.7879
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;12.319;0.09;101.469
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.38157;0.09;904.769
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.13714;0.09;1099.25
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;0.798736;0.09;1564.97
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;0.751296;0.09;1663.79
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.606288;0.09;2061.73
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.55512;0.09;489.214
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.61064;0.09;2047.03
bench1_base_variant;1024;1024;4096;0;0;0;0;12.6898;0.09;98.504
