benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1024;4096;0;0;0;0;4.07587;0.01;490.693
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;1.8131;0.01;1103.08
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.77685;0.01;720.241
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.09549;0.01;646.102
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;1.09221;0.01;1831.15
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;1.14502;0.01;1746.69
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.76696;0.01;2607.7
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;8.4897;0.01;235.58
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.775744;0.01;2578.17
bench1_base_variant;1024;1024;4096;0;0;0;0;16.2434;0.01;123.127
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;2.46243;0.01;812.205
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.74128;0.01;729.586
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;3.0665;0.01;652.21
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;1.06872;0.01;1871.4
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;1.06707;0.01;1874.29
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.879888;0.01;2273.02
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;7.61101;0.01;262.777
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.898816;0.01;2225.15
bench1_base_variant;2048;1024;4096;0;0;0;0;18.9873;0.01;105.334
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;2.94762;0.01;678.514
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.58578;0.01;773.462
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.5513;0.01;783.915
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;0.863008;0.01;2317.48
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;0.878912;0.01;2275.54
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.751056;0.01;2662.92
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;6.67445;0.01;299.65
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.77328;0.01;2586.39
bench1_base_variant;4096;1024;4096;0;0;0;0;21.4172;0.01;93.3827
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;5.09627;0.01;392.444
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.56466;0.01;779.832
