benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1024;4096;0;0;0;0;0.990384;0.01;1135.92
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;0.978656;0.01;1149.54
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;0.864144;0.01;1301.87
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.654688;0.01;1718.38
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;0.834304;0.01;1348.43
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;0.8;0.01;1406.25
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.67504;0.01;1666.57
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.22544;0.01;505.518
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.563568;0.01;1996.21
bench1_base_variant;1024;1024;4096;0;0;0;0;1.86574;0.01;602.977
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;1.84701;0.01;609.093
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;0.842736;0.01;1334.94
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.65992;0.01;1704.75
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;0.81472;0.01;1380.84
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;0.77968;0.01;1442.9
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.670944;0.01;1676.74
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.11698;0.01;531.418
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.564512;0.01;1992.87
bench1_base_variant;2048;1024;4096;0;0;0;0;1.91378;0.01;587.843
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;1.8835;0.01;597.291
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;0.764784;0.01;1471
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.612912;0.01;1835.5
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;0.74208;0.01;1516.01
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;0.719792;0.01;1562.95
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.626064;0.01;1796.94
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.006;0.01;560.818
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.519088;0.01;2167.26
bench1_base_variant;4096;1024;4096;0;0;0;0;1.27552;0.01;881.993
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;1.27278;0.01;883.889
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;0.761392;0.01;1477.56
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.63256;0.01;1778.49
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;0.730352;0.01;1540.35
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;0.724608;0.01;1552.56
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.64096;0.01;1755.18
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.99837;0.01;562.959
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.467408;0.01;2406.89
bench1_base_variant;512;1024;4096;0;0;0;0;4.50978;0.05;249.458
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;4.49056;0.05;250.526
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.37019;0.05;821.053
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.47005;0.05;765.281
