benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1024;4096;0;0;0;0;1.67227;0.01;747.486
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;1.65723;0.01;754.27
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.70706;0.01;732.255
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.2176;0.01;1026.61
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;1.4241;0.01;877.75
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;1.39446;0.01;896.402
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.2487;0.01;1001.04
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.43926;0.01;512.45
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.901888;0.01;1385.98
bench1_base_variant;1024;1024;4096;0;0;0;0;3.77053;0.01;331.519
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;3.76949;0.01;331.61
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.67019;0.01;748.417
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.29291;0.01;966.81
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;1.47422;0.01;847.904
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;1.44232;0.01;866.659
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.31778;0.01;948.568
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.44088;0.01;512.11
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.968896;0.01;1290.13
bench1_base_variant;2048;1024;4096;0;0;0;0;4.0829;0.01;306.155
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;4.13197;0.01;302.519
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;1.6216;0.01;770.844
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.2281;0.01;1017.84
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;1.38272;0.01;904.015
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;1.358;0.01;920.471
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.2476;0.01;1001.92
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.18958;0.01;570.885
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.812768;0.01;1537.95
bench1_base_variant;4096;1024;4096;0;0;0;0;4.82504;0.01;259.065
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;4.81117;0.01;259.812
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.60026;0.01;781.125
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.15067;0.01;1086.32
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;1.27515;0.01;980.275
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;1.25818;0.01;993.502
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.16322;0.01;1074.61
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.14186;0.01;583.606
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.777808;0.01;1607.08
bench1_base_variant;512;1024;4096;0;0;0;0;8.55874;0.05;146.05
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;8.54138;0.05;146.346
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.3883;0.05;523.384
