benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1024;4096;0;0;0;0;1.67341;0.01;746.979
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;1.6581;0.01;753.877
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.70706;0.01;732.255
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.21654;0.01;1027.5
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;1.42347;0.01;878.135
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;1.39563;0.01;895.652
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.24795;0.01;1001.64
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.44622;0.01;510.992
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.901888;0.01;1385.98
bench1_base_variant;1024;1024;4096;0;0;0;0;3.78282;0.01;330.442
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;3.74979;0.01;333.352
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.66035;0.01;752.852
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.29352;0.01;966.355
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;1.47494;0.01;847.49
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;1.44203;0.01;866.832
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.31702;0.01;949.109
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.44078;0.01;512.131
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.968896;0.01;1290.13
bench1_base_variant;2048;1024;4096;0;0;0;0;4.03032;0.01;310.149
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;3.96296;0.01;315.421
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;1.63779;0.01;763.223
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.24099;0.01;1007.26
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;1.38794;0.01;900.618
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;1.35749;0.01;920.818
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.2496;0.01;1000.32
