benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1024;4096;0;0;0;0;2.70045;0.01;555.463
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;2.68381;0.01;558.907
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.7927;0.01;537.114
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;2.33354;0.01;642.801
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;2.594;0.01;578.258
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;2.59413;0.01;578.229
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;2.40758;0.01;623.031
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;4.4231;0.01;339.128
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.71958;0.01;872.304
bench1_base_variant;1024;1024;4096;0;0;0;0;7.75773;0.01;193.356
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;7.75528;0.01;193.417
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.78701;0.01;538.212
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.49117;0.01;602.127
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;2.70075;0.01;555.401
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;2.67875;0.01;559.962
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.53291;0.01;592.204
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;4.41739;0.01;339.567
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.72114;0.01;871.517
bench1_base_variant;2048;1024;4096;0;0;0;0;8.52893;0.01;175.872
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;8.52979;0.01;175.854
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.42854;0.01;617.654
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.23683;0.01;670.591
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;2.3777;0.01;630.863
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;2.36333;0.01;634.698
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.25342;0.01;665.654
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;3.66646;0.01;409.114
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.46382;0.01;1024.71
