benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1024;4096;0;0;0;0;1.67189;0.01;747.658
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;1.65958;0.01;753.201
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.71192;0.01;730.174
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.21824;0.01;1026.07
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;1.42427;0.01;877.641
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;1.39706;0.01;894.739
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.2489;0.01;1000.88
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.44744;0.01;510.738
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.90632;0.01;1379.2
bench1_base_variant;1024;1024;4096;0;0;0;0;3.77778;0.01;330.883
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;3.75141;0.01;333.208
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.6565;0.01;754.605
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.29462;0.01;965.531
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;1.47539;0.01;847.232
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;1.44731;0.01;863.67
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.3179;0.01;948.476
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.43787;0.01;512.742
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.973616;0.01;1283.87
bench1_base_variant;2048;1024;4096;0;0;0;0;4.02406;0.01;310.631
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;3.98512;0.01;313.667
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;1.56712;0.01;797.642
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.15824;0.01;1079.22
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;1.28589;0.01;972.091
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;1.26243;0.01;990.152
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.15899;0.01;1078.52
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.12885;0.01;587.172
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.7696;0.01;1624.22
bench1_base_variant;4096;1024;4096;0;0;0;0;4.80413;0.01;260.193
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;6.68197;0.01;187.071
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.54016;0.01;811.604
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.13675;0.01;1099.62
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;1.26;0.01;992.064
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;1.24347;0.01;1005.25
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.15098;0.01;1086.03
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.11426;0.01;591.225
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.758384;0.01;1648.24
bench1_base_variant;512;1024;4096;0;0;0;0;8.53235;0.05;146.501
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;8.52266;0.05;146.668
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.32274;0.05;538.158
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;2.62851;0.05;475.554
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;2.8083;0.05;445.109
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;2.78154;0.05;449.392
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;2.64242;0.05;473.052
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.37237;0.05;526.9
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.49613;0.05;835.49
bench1_base_variant;1024;1024;4096;0;0;0;0;9.10707;0.05;137.256
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;9.10891;0.05;137.228
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.22198;0.05;562.56
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.65227;0.05;471.294
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;2.78278;0.05;449.19
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;2.76299;0.05;452.408
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.64981;0.05;471.732
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.30408;0.05;542.516
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.53854;0.05;812.456
bench1_base_variant;2048;1024;4096;0;0;0;0;10.1476;0.05;123.181
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;10.1405;0.05;123.268
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.18718;0.05;571.511
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.61331;0.05;478.32
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;2.72957;0.05;457.948
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;2.71614;0.05;460.211
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.61283;0.05;478.408
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.24299;0.05;557.291
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.51635;0.05;824.347
bench1_base_variant;4096;1024;4096;0;0;0;0;12.0767;0.05;103.505
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;12.0764;0.05;103.508
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.1901;0.05;570.751
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.61896;0.05;477.289
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;2.72341;0.05;458.984
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;2.71275;0.05;460.787
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.62379;0.05;476.41
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.24562;0.05;556.64
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.52227;0.05;821.141
bench1_base_variant;512;1024;4096;0;0;0;0;13.3282;0.09;93.7863
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;13.3129;0.09;93.8941
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.7704;0.09;451.198
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.0748;0.09;406.53
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;3.29093;0.09;379.832
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;3.24885;0.09;384.752
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.10558;0.09;402.501
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.60325;0.09;480.169
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;2.01734;0.09;619.627
