benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;14.1855;0.1;88.1182
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;13.9216;0.1;89.7888
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.49507;0.1;836.08
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.18542;0.1;1054.48
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.863824;0.1;1447.05
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.814176;0.1;1535.29
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.666272;0.1;1876.11
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.57435;0.1;485.559
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.666256;0.1;1876.16
bench1_base_variant;1024;1;1024;4096;0;0;0;0;15.0052;0.1;83.3045
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;7.46448;0.1;167.46
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.29472;0.1;965.46
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.0556;0.1;1184.16
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.797312;0.1;1567.77
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.760032;0.1;1644.67
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.646128;0.1;1934.6
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.25658;0.1;553.937
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.652368;0.1;1916.1
bench1_base_variant;2048;1;1024;4096;0;0;0;0;7.73838;0.1;161.532
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;2.32176;0.1;538.385
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.31392;0.1;951.352
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.05213;0.1;1188.07
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.769248;0.1;1624.96
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.740752;0.1;1687.47
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.63536;0.1;1967.39
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.25573;0.1;554.145
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.638512;0.1;1957.68
bench1_base_variant;4096;1;1024;4096;0;0;0;0;6.38158;0.1;195.876
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;4.18741;0.1;298.514
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.29582;0.1;964.637
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.05531;0.1;1184.48
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.754848;0.1;1655.96
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.732656;0.1;1706.12
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.633984;0.1;1971.66
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.25382;0.1;554.613
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.637312;0.1;1961.36
bench1_base_variant;512;2;1024;4096;0;0;0;0;13.5764;0.1;92.0714
bench2_base_variant_skipping;512;2;1024;4096;0;0;0;0;16.0257;0.1;77.9995
bench3_3pass_streaming;512;2;1024;4096;-0.5;-0.5;-0.5;-0.5;1.46109;0.1;855.527
bench4_3pass_optimized_read_non_skipping_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;1.12189;0.1;1114.19
bench5_3pass_optimized_read_skipping_partial_pss;512;2;1024;4096;0;0;-0.5;0;0.809488;0.1;1544.19
bench6_3pass_optimized_read_skipping_two_phase_pss;512;2;1024;4096;0;0;0;0;0.774368;0.1;1614.22
bench7_3pass_optimized_read_skipping_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;0.623312;0.1;2005.42
bench8_cub_flagged;512;2;1024;4096;-0.5;-0.5;-0.5;-0.5;2.57318;0.1;485.779
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;0.620368;0.1;2014.93
bench1_base_variant;1024;2;1024;4096;0;0;0;0;13.5757;0.1;92.0764
bench2_base_variant_skipping;1024;2;1024;4096;0;0;0;0;5.73558;0.1;217.938
bench3_3pass_streaming;1024;2;1024;4096;-0.5;-0.5;-0.5;-0.5;1.2681;0.1;985.73
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;0.993024;0.1;1258.78
bench5_3pass_optimized_read_skipping_partial_pss;1024;2;1024;4096;0;0;-0.5;0;0.753584;0.1;1658.74
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;2;1024;4096;0;0;0;0;0.73976;0.1;1689.74
bench7_3pass_optimized_read_skipping_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;0.632256;0.1;1977.05
bench8_cub_flagged;1024;2;1024;4096;-0.5;-0.5;-0.5;-0.5;2.25245;0.1;554.952
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;0.636864;0.1;1962.74
bench1_base_variant;2048;2;1024;4096;0;0;0;0;7.43251;0.1;168.18
bench2_base_variant_skipping;2048;2;1024;4096;0;0;0;0;2.31387;0.1;540.22
bench3_3pass_streaming;2048;2;1024;4096;-0.5;-0.5;-0.5;-0.5;1.27949;0.1;976.953
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;2;1024;4096;0;-0.5;-0.5;0;0.987744;0.1;1265.51
bench5_3pass_optimized_read_skipping_partial_pss;2048;2;1024;4096;0;0;-0.5;0;0.726448;0.1;1720.7
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;2;1024;4096;0;0;0;0;0.72504;0.1;1724.04
bench7_3pass_optimized_read_skipping_cub_pss;2048;2;1024;4096;0;-0.5;-0.5;0;0.624032;0.1;2003.1
bench8_cub_flagged;2048;2;1024;4096;-0.5;-0.5;-0.5;-0.5;2.25478;0.1;554.377
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;2;1024;4096;0;-0.5;-0.5;0;0.631008;0.1;1980.96
bench1_base_variant;4096;2;1024;4096;0;0;0;0;7.53704;0.1;165.848
bench2_base_variant_skipping;4096;2;1024;4096;0;0;0;0;4.17646;0.1;299.296
bench3_3pass_streaming;4096;2;1024;4096;-0.5;-0.5;-0.5;-0.5;1.27053;0.1;983.843
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;2;1024;4096;0;-0.5;-0.5;0;0.993408;0.1;1258.29
bench5_3pass_optimized_read_skipping_partial_pss;4096;2;1024;4096;0;0;-0.5;0;0.714;0.1;1750.7
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;2;1024;4096;0;0;0;0;0.71816;0.1;1740.56
bench7_3pass_optimized_read_skipping_cub_pss;4096;2;1024;4096;0;-0.5;-0.5;0;0.626032;0.1;1996.7
bench8_cub_flagged;4096;2;1024;4096;-0.5;-0.5;-0.5;-0.5;2.25264;0.1;554.904
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;2;1024;4096;0;-0.5;-0.5;0;0.633216;0.1;1974.05
bench1_base_variant;512;4;1024;4096;0;0;0;0;9.89424;0.1;126.336
bench2_base_variant_skipping;512;4;1024;4096;0;0;0;0;14.6901;0.1;85.0913
bench3_3pass_streaming;512;4;1024;4096;-0.5;-0.5;-0.5;-0.5;1.47122;0.1;849.637
