benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;14.1618;0.1;88.2658
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;13.8126;0.1;90.4968
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.43718;0.1;869.756
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.1881;0.1;1052.1
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.856496;0.1;1459.43
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.812096;0.1;1539.23
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.662256;0.1;1887.49
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.57022;0.1;486.339
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.642272;0.1;1946.22
bench1_base_variant;1024;1;1024;4096;0;0;0;0;14.8404;0.1;84.2295
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;7.43597;0.1;168.102
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.28378;0.1;973.69
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.05406;0.1;1185.89
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.795168;0.1;1571.99
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.76152;0.1;1641.45
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.646272;0.1;1934.17
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.25534;0.1;554.239
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.649136;0.1;1925.64
bench1_base_variant;2048;1;1024;4096;0;0;0;0;7.79186;0.1;160.424
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;2.31938;0.1;538.938
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.27485;0.1;980.509
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.05106;0.1;1189.28
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.77952;0.1;1603.55
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.738656;0.1;1692.26
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.635552;0.1;1966.79
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.25426;0.1;554.507
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.637568;0.1;1960.58
bench1_base_variant;4096;1;1024;4096;0;0;0;0;6.51421;0.1;191.888
