benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;14.4531;0.1;86.4869
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;14.4222;0.1;86.6718
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.84741;0.1;438.996
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;3.02306;0.1;413.489
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;3.23509;0.1;386.388
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;3.18112;0.1;392.943
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;3.05626;0.1;408.997
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.48955;0.1;502.098
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.06586;0.1;605.076
bench1_base_variant;1024;1;1024;4096;0;0;0;0;15.1932;0.1;82.2737
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;15.2196;0.1;82.1309
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.74888;0.1;454.731
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;2.99086;0.1;417.939
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;3.10517;0.1;402.555
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;3.08342;0.1;405.393
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;2.9685;0.1;421.089
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.34672;0.1;532.658
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;2.10493;0.1;593.845
bench1_base_variant;2048;1;1024;4096;0;0;0;0;16.7433;0.1;74.6568
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;16.7144;0.1;74.786
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.70368;0.1;462.333
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;2.98435;0.1;418.851
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;3.09539;0.1;403.826
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;3.07262;0.1;406.818
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;2.9708;0.1;420.762
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.34624;0.1;532.767
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;2.102;0.1;594.672
bench1_base_variant;4096;1;1024;4096;0;0;0;0;18.3914;0.1;67.9666
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;18.3852;0.1;67.9894
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.69974;0.1;463.007
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;2.9948;0.1;417.39
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;3.09246;0.1;404.208
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;3.07515;0.1;406.484
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;2.9853;0.1;418.719
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.34208;0.1;533.714
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;2.10307;0.1;594.369
bench1_base_variant;512;1;1024;4096;0;0;0;0;1.67421;0.01;746.622
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;1.66552;0.01;750.516
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.72672;0.01;723.916
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.21875;0.01;1025.64
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.4257;0.01;876.765
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.39653;0.01;895.077
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.25016;0.01;999.872
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.44184;0.01;511.909
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.90624;0.01;1379.33
bench1_base_variant;1024;1;1024;4096;0;0;0;0;3.77803;0.01;330.86
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;3.74648;0.01;333.647
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.67101;0.01;748.051
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.29493;0.01;965.305
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;1.47827;0.01;845.582
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;1.45182;0.01;860.986
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.31947;0.01;947.349
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.4432;0.01;511.624
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.972464;0.01;1285.39
bench1_base_variant;2048;1;1024;4096;0;0;0;0;4.06702;0.01;307.35
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;4.20632;0.01;297.172
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.62051;0.01;771.361
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.22526;0.01;1020.19
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;1.38003;0.01;905.776
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;1.34466;0.01;929.606
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.23662;0.01;1010.82
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.16248;0.01;578.04
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.798704;0.01;1565.04
bench1_base_variant;4096;1;1024;4096;0;0;0;0;4.81688;0.01;259.504
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;4.7848;0.01;261.244
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.53834;0.01;812.566
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.1381;0.01;1098.33
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;1.26082;0.01;991.421
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;1.24598;0.01;1003.22
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.14976;0.01;1087.18
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.1167;0.01;590.541
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.758256;0.01;1648.52
bench1_base_variant;512;1;1024;4096;0;0;0;0;0.97136;0.001;1286.86
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.879296;0.001;1421.59
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.55581;0.001;803.441
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.833104;0.001;1500.41
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.898688;0.001;1390.92
